stdg_Cd,bjd_Nm,bould_Exist_Area,cobbles_Exist_Area,etc_Area,gravels_Exist_Area,gravels_None_Area,pebble_Exist_Area,rock_Exist_Area,rock_Many_Area,stone_Exist_Area,stonebould_Exist_Area
4782031033,경상북도 청도군 각남면 일곡리,0,0,1,102,16,0,2,0,0,0
4782031034,경상북도 청도군 각남면 구곡리,1,0,15,150,79,0,45,0,6,0
4122025021,경기도 평택시 팽성읍 객사리,0,0,0,0,66,0,0,0,0,0
2611012500,부산광역시 중구 부평동3가,0,0,0,1,4,0,0,0,0,0
2611012800,부산광역시 중구 신창동2가,0,0,0,2,0,0,0,0,0,0
2611013100,부산광역시 중구 창선동1가,0,0,0,1,0,0,0,0,0,0
2611013600,부산광역시 중구 남포동1가,0,0,0,0,2,0,0,0,0,0
2611013900,부산광역시 중구 남포동4가,0,0,1,0,3,0,0,0,0,0
2614000000,부산광역시 서구,6,0,97,1076,60,0,163,1,0,0
2614010400,부산광역시 서구 서대신동1가,0,0,0,20,0,0,0,0,0,0
2614010800,부산광역시 서구 부용동2가,0,0,0,10,0,0,0,0,0,0
2614011600,부산광역시 서구 아미동2가,0,0,0,64,0,0,4,0,0,0
2614011800,부산광역시 서구 토성동5가,0,0,0,5,0,0,0,0,0,0
2614012100,부산광역시 서구 충무동2가,0,0,0,2,2,0,0,0,0,0
