stdg_Cd,bjd_Nm,etc_Area,excespoor_Drain_Area,exceswell_Drain_Area,moderpoor_Drain_Area,moderwell_Drain_Area,poor_Drain_Area,well_Drain_Area
4481037026,충청남도 예산군 봉산면 옥전리,1,0,51,30,5,0,67
4481037028,충청남도 예산군 봉산면 시동리,0,10,10,24,5,0,122
4481036028,충청남도 예산군 덕산면 둔리,31,6,589,82,41,0,180
4481036029,충청남도 예산군 덕산면 대치리,2,0,653,17,43,0,156
4481036031,충청남도 예산군 덕산면 사천리,5,0,320,24,29,0,69
4481036032,충청남도 예산군 덕산면 외라리,2,0,27,39,13,0,64
4481036034,충청남도 예산군 덕산면 복당리,6,6,46,48,76,0,35
4481036027,충청남도 예산군 덕산면 시량리,14,0,144,40,28,0,69
4481038031,충청남도 예산군 고덕면 사리,12,3,0,145,17,0,113
4481039000,충청남도 예산군 신암면,173,118,77,1648,194,5,1351
4313042026,충청북도 충주시 엄정면 신만리,11,2,171,82,54,0,255
4313040028,충청북도 충주시 동량면 서운리,79,0,247,9,6,0,182
4313040029,충청북도 충주시 동량면 포탄리,43,0,0,0,0,0,51
4313040031,충청북도 충주시 동량면 명오리,339,0,100,0,1,0,214
4313040032,충청북도 충주시 동량면 사기리,149,0,0,0,0,0,81
4313041000,충청북도 충주시 산척면,277,89,3622,208,336,0,3311
4313041021,충청북도 충주시 산척면 송강리,20,28,1309,92,174,0,553
4313041023,충청북도 충주시 산척면 명서리,169,0,1007,7,34,0,1218
4377037029,충청북도 음성군 감곡면 오궁리,11,13,50,46,93,0,150
4377032022,충청북도 음성군 원남면 보룡리,1,0,80,31,14,0,91
4377032023,충청북도 음성군 원남면 마송리,3,22,108,74,37,0,199
4377032024,충청북도 음성군 원남면 상당리,1,0,56,53,24,0,129
4377032026,충청북도 음성군 원남면 상노리,1,0,103,61,24,0,135
4377032027,충청북도 음성군 원남면 하노리,14,12,222,52,101,0,145
4423038024,충청남도 논산시 벌곡면 대덕리,0,0,107,2,40,0,163
4423038026,충청남도 논산시 벌곡면 덕곡리,2,0,442,0,61,0,310
4423038027,충청남도 논산시 벌곡면 수락리,39,0,388,0,36,0,465
4423038029,충청남도 논산시 벌곡면 만목리,0,0,13,0,19,0,628
4423038030,충청남도 논산시 벌곡면 어곡리,2,0,45,5,20,0,401
4423038032,충청남도 논산시 벌곡면 조령리,0,0,17,25,14,0,163
4423038033,충청남도 논산시 벌곡면 신양리,17,0,1,14,65,0,484
4423039000,충청남도 논산시 양촌면,216,6,2150,443,1034,0,3850
4423039021,충청남도 논산시 양촌면 인천리,15,0,35,0,36,0,49
4423041026,충청남도 논산시 은진면 교촌리,0,0,7,53,11,14,128
4423041028,충청남도 논산시 은진면 남산리,0,1,4,51,22,14,91
4471036029,충청남도 금산군 남이면 석동리,2,0,553,8,51,0,191
4471037000,충청남도 금산군 진산면,75,16,2049,57,571,0,5301
4471037021,충청남도 금산군 진산면 만악리,3,16,393,6,49,0,177
4471037023,충청남도 금산군 진산면 부암리,10,0,119,7,54,0,236
4471037024,충청남도 금산군 진산면 삼가리,6,0,597,0,32,0,198
4471037026,충청남도 금산군 진산면 석막리,1,0,113,0,29,0,301
4471037027,충청남도 금산군 진산면 교촌리,3,0,16,2,35,0,282
4471036024,충청남도 금산군 남이면 역평리,9,0,391,3,68,0,390
4372025043,충청북도 보은군 보은읍 산성리,11,0,146,12,61,0,100
4372025044,충청북도 보은군 보은읍 중초리,1,0,257,47,29,0,81
4372025046,충청북도 보은군 보은읍 용암리,5,7,116,38,22,0,48
4372025047,충청북도 보은군 보은읍 봉평리,6,18,29,25,13,0,45
4479038031,충청남도 청양군 화성면 매산리,15,0,234,15,45,0,140
4420011400,충청남도 아산시 권곡동,53,0,0,68,78,0,62
4420011600,충청남도 아산시 득산동,11,0,0,52,15,0,102
4420011700,충청남도 아산시 점양동,35,0,0,7,2,0,57
4420011900,충청남도 아산시 남동,3,0,1,15,22,0,2
4420025000,충청남도 아산시 염치읍,238,38,778,873,409,0,1871
4420025022,충청남도 아산시 염치읍 강청리,11,0,239,60,14,0,50
4420025023,충청남도 아산시 염치읍 서원리,11,5,208,12,29,0,313
4183032021,경기도 양평군 강하면 운심리,113,0,47,42,5,0,145
4183032022,경기도 양평군 강하면 왕창리,7,0,42,45,50,0,169
4376039027,충청북도 괴산군 사리면 이곡리,9,5,1039,41,39,0,185
4376040000,충청북도 괴산군 소수면,92,21,2961,407,276,0,893
4376040021,충청북도 괴산군 소수면 수리,10,0,429,70,52,0,157
4376040023,충청북도 괴산군 소수면 아성리,19,2,236,70,40,0,121
4377025336,충청북도 음성군 금왕읍 유포리,5,41,0,42,41,0,124
4377025300,충청북도 음성군 금왕읍,196,522,2173,707,800,0,2725
4377025321,충청북도 음성군 금왕읍 무극리,15,6,56,34,46,0,94
4377025323,충청북도 음성군 금왕읍 정생리,9,4,91,27,73,0,39
4377025324,충청북도 음성군 금왕읍 육령리,38,14,413,31,29,0,185
4377025326,충청북도 음성군 금왕읍 용계리,6,12,176,6,36,0,142
4377025328,충청북도 음성군 금왕읍 유촌리,2,39,111,22,14,0,123
4686033030,전라남도 함평군 학교면 마산리,8,0,27,27,38,0,202
4686033031,전라남도 함평군 학교면 석정리,21,0,62,145,36,1,29
4783036045,경상북도 고령군 우곡면 속리,3,2,238,21,19,0,24
4783037000,경상북도 고령군 쌍림면,241,7,4411,523,671,0,1249
2920015500,광주광역시 광산구 연산동,11,1,0,128,61,0,204
2920015600,광주광역시 광산구 도덕동,18,9,22,48,39,0,231
2920015700,광주광역시 광산구 송산동,41,0,0,243,33,0,48
2920015800,광주광역시 광산구 지평동,14,2,102,48,40,0,209
2920016100,광주광역시 광산구 양동,3,0,166,7,54,0,64
2920016300,광주광역시 광산구 대산동,4,0,103,38,31,12,195
2920016500,광주광역시 광산구 신동,8,0,0,24,51,4,71
2920016600,광주광역시 광산구 삼도동,5,0,72,48,51,0,179
2920016700,광주광역시 광산구 남산동,6,0,13,155,35,0,58
2871037025,인천광역시 강화군 하점면 신삼리,0,4,181,174,33,0,53
2871037027,인천광역시 강화군 하점면 창후리,0,6,160,147,21,14,90
2871037028,인천광역시 강화군 하점면 이강리,0,15,102,139,29,0,86
2871038021,인천광역시 강화군 양사면 철산리,0,0,15,55,4,0,102
2871034021,인천광역시 강화군 화도면 내리,1,13,260,132,20,0,144
2871034022,인천광역시 강화군 화도면 상방리,0,32,175,108,22,0,74
2871034024,인천광역시 강화군 화도면 덕포리,10,22,165,203,8,0,172
2871034025,인천광역시 강화군 화도면 사기리,41,0,282,62,2,177,77
2871034028,인천광역시 강화군 화도면 여차리,58,5,120,28,3,59,88
2871034029,인천광역시 강화군 화도면 장화리,9,4,318,35,15,0,126
2871035000,인천광역시 강화군 양도면,89,87,1276,871,216,0,994
4315025031,충청북도 제천시 봉양읍 연박리,48,6,620,28,75,0,215
4315025033,충청북도 제천시 봉양읍 구곡리,34,0,773,79,43,0,291
4315025034,충청북도 제천시 봉양읍 공전리,37,1,563,32,80,0,166
4315025036,충청북도 제천시 봉양읍 삼거리,1,0,976,63,54,0,264
4315031000,충청북도 제천시 금성면,355,72,3977,249,196,0,2017
4315031022,충청북도 제천시 금성면 성내리,167,0,568,0,5,0,257
4315031024,충청북도 제천시 금성면 중전리,31,0,392,0,7,0,125
4315031025,충청북도 제천시 금성면 포전리,0,0,451,0,21,0,100
4315031027,충청북도 제천시 금성면 사곡리,0,0,195,20,14,0,118
4315031028,충청북도 제천시 금성면 적덕리,1,0,18,20,8,0,73
4315012100,충청북도 제천시 강제동,10,8,109,77,81,0,144
4315012300,충청북도 제천시 산곡동,5,7,225,62,21,0,118
4481032036,충청남도 예산군 신양면 차동리,0,0,241,46,17,0,213
4481033000,충청남도 예산군 광시면,321,22,1331,725,637,0,2782
4481033021,충청남도 예산군 광시면 광시리,6,0,14,41,22,0,193
4481032022,충청남도 예산군 신양면 황계리,5,0,103,44,18,0,124
4481035024,충청남도 예산군 응봉면 신리,46,0,0,11,7,0,24
4481035026,충청남도 예산군 응봉면 등촌리,76,0,2,5,0,0,52
4481035027,충청남도 예산군 응봉면 후사리,29,0,37,23,6,0,143
4481035029,충청남도 예산군 응봉면 운곡리,0,0,31,25,4,0,81
4481035030,충청남도 예산군 응봉면 증곡리,0,0,12,58,6,0,130
4481035032,충청남도 예산군 응봉면 주령리,0,0,7,37,16,0,104
4481036000,충청남도 예산군 덕산면,128,15,3424,526,604,0,1283
4471031000,충청남도 금산군 금성면,40,106,1118,607,184,0,1413
4471031022,충청남도 금산군 금성면 도곡리,1,1,152,84,9,0,152
4471031024,충청남도 금산군 금성면 상가리,6,4,122,55,11,0,74
4471031025,충청남도 금산군 금성면 두곡리,2,16,130,64,6,0,172
4471031027,충청남도 금산군 금성면 하류리,4,21,43,77,20,0,45
4471031029,충청남도 금산군 금성면 마수리,0,0,41,37,26,0,241
4471035029,충청남도 금산군 남일면 신천리,16,0,7,82,28,0,372
4471036021,충청남도 금산군 남이면 하금리,16,0,715,10,58,0,374
