stdg_Cd,bjd_Nm,vldsia_Rfld1_Area,vldsia_Rfld2_Area,vldsia_Rfld3_Area,vldsia_Rfld4_Area,vldsia_Rfld5_Area,vldsia_Rfld6_Area
4824036022,경상남도 사천시 곤명면 용산리,9,7,3,1,1,0
4824036023,경상남도 사천시 곤명면 조장리,29,18,7,2,1,1
4824036024,경상남도 사천시 곤명면 봉계리,17,14,10,6,3,5
4824036026,경상남도 사천시 곤명면 삼정리,3,18,8,8,6,12
4824036028,경상남도 사천시 곤명면 마곡리,25,14,10,3,4,11
4824036029,경상남도 사천시 곤명면 성방리,18,11,9,7,2,6
4825012000,경상남도 김해시 안동,-,-,-,-,-,-
4825010200,경상남도 김해시 서상동,-,-,-,-,-,-
4825010300,경상남도 김해시 부원동,2,15,9,5,4,10
4481025028,충청남도 예산군 예산읍 관작리,0,3,3,2,3,5
4481025029,충청남도 예산군 예산읍 창소리,0,1,4,3,1,4
4481025030,충청남도 예산군 예산읍 신례원리,2,8,4,6,2,10
4481025032,충청남도 예산군 예산읍 궁평리,4,30,14,9,8,9
4773046034,경상북도 의성군 안평면 창길리,-,-,-,-,-,-
4773046035,경상북도 의성군 안평면 괴산리,-,-,-,-,-,-
4723025037,경상북도 영천시 금호읍 원기리,0,0,1,0,0,0
4723025038,경상북도 영천시 금호읍 신대리,-,-,-,-,-,-
4723025039,경상북도 영천시 금호읍 남성리,-,-,-,-,-,-
4723025041,경상북도 영천시 금호읍 황정리,0,1,2,0,0,0
4723031021,경상북도 영천시 청통면 호당리,0,0,1,0,0,0
4723031022,경상북도 영천시 청통면 우천리,0,0,1,0,0,0
4723031024,경상북도 영천시 청통면 신덕리,-,-,-,-,-,-
4723025030,경상북도 영천시 금호읍 관정리,0,1,2,0,0,0
4723025031,경상북도 영천시 금호읍 구암리,0,1,4,1,0,0
4723025033,경상북도 영천시 금호읍 대곡리,-,-,-,-,-,-
4723025034,경상북도 영천시 금호읍 호남리,-,-,-,-,-,-
4723033033,경상북도 영천시 화산면 유성리,0,2,15,1,0,1
4825036000,경상남도 김해시 상동면,15,42,30,10,3,7
4825034025,경상남도 김해시 한림면 용덕리,0,7,13,8,4,3
4825034026,경상남도 김해시 한림면 안곡리,0,35,8,2,1,1
4825034028,경상남도 김해시 한림면 장방리,6,92,86,42,24,25
4825034029,경상남도 김해시 한림면 시산리,9,65,67,31,20,31
4825032000,경상남도 김해시 주촌면,9,44,32,13,8,19
4825032022,경상남도 김해시 주촌면 원지리,2,9,5,3,2,2
4825032023,경상남도 김해시 주촌면 덕암리,0,3,2,1,0,1
4423032032,충청남도 논산시 광석면 율리,19,50,52,41,39,38
4423032033,충청남도 논산시 광석면 오강리,7,20,19,7,13,12
4423033021,충청남도 논산시 노성면 읍내리,4,12,2,6,2,10
4423033022,충청남도 논산시 노성면 두사리,1,1,1,1,0,3
4423033023,충청남도 논산시 노성면 송당리,2,1,0,7,10,5
4423033025,충청남도 논산시 노성면 하도리,8,21,21,18,8,17
4721039030,경상북도 영주시 부석면 보계리,10,20,14,4,0,0
4723025036,경상북도 영천시 금호읍 오계리,0,0,1,0,0,0
4889041000,경상남도 합천군 대양면,37,36,32,14,8,20
4889041021,경상남도 합천군 대양면 정양리,1,0,1,0,0,0
4889041022,경상남도 합천군 대양면 아천리,3,2,2,1,0,1
4889041024,경상남도 합천군 대양면 무곡리,3,9,3,2,1,9
4889041025,경상남도 합천군 대양면 덕정리,4,2,2,1,1,3
4825033025,경상남도 김해시 진례면 신안리,5,40,14,6,1,6
4825033026,경상남도 김해시 진례면 산본리,8,38,18,4,1,4
4825033027,경상남도 김해시 진례면 신월리,1,66,63,24,9,13
4825033029,경상남도 김해시 진례면 담안리,37,97,23,15,7,15
4825034000,경상남도 김해시 한림면,26,363,440,256,180,207
4825034021,경상남도 김해시 한림면 명동리,0,11,14,11,6,8
4825034023,경상남도 김해시 한림면 병동리,0,6,12,9,4,3
4418039025,충청남도 보령시 미산면 늑전리,2,3,3,1,1,2
4418039026,충청남도 보령시 미산면 도흥리,3,9,13,4,4,6
4418039027,충청남도 보령시 미산면 봉성리,0,3,3,1,2,1
4418039029,충청남도 보령시 미산면 은현리,1,9,6,2,1,3
4418039030,충청남도 보령시 미산면 내평리,1,4,7,1,1,0
4423033026,충청남도 논산시 노성면 죽림리,7,18,19,26,6,28
4423032024,충청남도 논산시 광석면 갈산리,26,65,36,42,32,46
4423032025,충청남도 논산시 광석면 광리,6,33,37,23,16,62
4423032027,충청남도 논산시 광석면 산동리,12,37,14,7,4,17
4423032029,충청남도 논산시 광석면 왕전리,16,34,26,11,1,9
4423032030,충청남도 논산시 광석면 항월리,6,32,9,1,4,3
4717035030,경상북도 안동시 일직면 조탑리,1,1,1,0,0,0
4717034027,경상북도 안동시 풍천면 금계리,3,2,1,1,1,1
4717034028,경상북도 안동시 풍천면 구호리,1,1,0,0,0,0
