stdg_Cd,bjd_Nm,soil_Crop_Cd,soil_Crop_Nm,high_Suit_Area,suit_Area,poss_Area,low_Suit_Area,etc_Area
4723033026,경상북도 영천시 화산면 화산리,CR005,사과,2,118,54,672,13
4723033027,경상북도 영천시 화산면 가상리,CR005,사과,9,51,44,308,15
4723033028,경상북도 영천시 화산면 대기리,CR005,사과,10,39,26,260,11
4723033029,경상북도 영천시 화산면 암기리,CR005,사과,11,35,33,252,8
4723033030,경상북도 영천시 화산면 삼부리,CR005,사과,6,10,48,58,14
4723033031,경상북도 영천시 화산면 석촌리,CR005,사과,12,10,37,19,9
4723033032,경상북도 영천시 화산면 당곡리,CR005,사과,12,26,57,181,2
4723033033,경상북도 영천시 화산면 유성리,CR005,사과,20,35,110,209,17
4723033034,경상북도 영천시 화산면 부계리,CR005,사과,2,23,13,120,12
4723033035,경상북도 영천시 화산면 용평리,CR005,사과,43,10,22,43,18
4723034000,경상북도 영천시 화북면,CR005,사과,216,232,562,7489,214
4723034021,경상북도 영천시 화북면 자천리,CR005,사과,50,84,151,762,30
4723034022,경상북도 영천시 화북면 옥계리,CR005,사과,8,21,44,397,3
4723034023,경상북도 영천시 화북면 입석리,CR005,사과,2,2,8,764,37
4723034024,경상북도 영천시 화북면 용소리,CR005,사과,5,5,10,322,58
4723034025,경상북도 영천시 화북면 법화리,CR005,사과,0,0,0,599,1
4723034026,경상북도 영천시 화북면 하송리,CR005,사과,21,1,3,456,3
4723034027,경상북도 영천시 화북면 상송리,CR005,사과,15,3,7,427,4
4723034028,경상북도 영천시 화북면 죽전리,CR005,사과,10,2,16,528,4
4723034029,경상북도 영천시 화북면 정각리,CR005,사과,11,11,22,1550,13
4723034030,경상북도 영천시 화북면 횡계리,CR005,사과,7,8,43,422,21
4723034031,경상북도 영천시 화북면 공덕리,CR005,사과,5,18,82,647,6
4723034032,경상북도 영천시 화북면 오산리,CR005,사과,60,65,122,577,21
4723034034,경상북도 영천시 화북면 오동리,CR005,사과,23,10,54,40,13
4723035000,경상북도 영천시 화남면,CR005,사과,183,620,967,5899,259
4723035021,경상북도 영천시 화남면 금호리,CR005,사과,31,46,83,274,26
4723035022,경상북도 영천시 화남면 죽곡리,CR005,사과,4,117,142,917,19
4723035023,경상북도 영천시 화남면 신호리,CR005,사과,19,46,111,214,31
4723035024,경상북도 영천시 화남면 사천리,CR005,사과,12,50,97,394,23
4723035025,경상북도 영천시 화남면 대천리,CR005,사과,10,15,101,108,18
4723035026,경상북도 영천시 화남면 선천리,CR005,사과,43,33,68,204,45
4723035027,경상북도 영천시 화남면 삼창리,CR005,사과,25,30,94,168,22
4723035028,경상북도 영천시 화남면 귀호리,CR005,사과,3,79,74,648,16
4723035029,경상북도 영천시 화남면 안천리,CR005,사과,34,65,81,484,26
4723035030,경상북도 영천시 화남면 온천리,CR005,사과,2,24,32,340,4
4723035031,경상북도 영천시 화남면 구전리,CR005,사과,0,10,17,541,6
4723035032,경상북도 영천시 화남면 용계리,CR005,사과,0,0,5,954,15
4723035033,경상북도 영천시 화남면 월곡리,CR005,사과,0,104,63,654,9
4723036000,경상북도 영천시 자양면,CR005,사과,108,127,369,7645,653
4723036021,경상북도 영천시 자양면 보현리,CR005,사과,48,25,98,1734,15
4723036022,경상북도 영천시 자양면 도일리,CR005,사과,19,8,5,680,18
4723036023,경상북도 영천시 자양면 충효리,CR005,사과,22,7,33,987,86
4723036024,경상북도 영천시 자양면 삼귀리,CR005,사과,5,30,44,381,65
4723036025,경상북도 영천시 자양면 용산리,CR005,사과,9,2,8,961,106
4723036026,경상북도 영천시 자양면 신방리,CR005,사과,5,23,91,580,7
4723036027,경상북도 영천시 자양면 노항리,CR005,사과,0,14,46,470,160
4723036028,경상북도 영천시 자양면 성곡리,CR005,사과,0,18,45,411,184
4723036029,경상북도 영천시 자양면 용화리,CR005,사과,0,0,0,1442,14
4723037000,경상북도 영천시 임고면,CR005,사과,675,493,1165,6079,369
4723037021,경상북도 영천시 임고면 양항리,CR005,사과,71,20,44,146,42
4723037022,경상북도 영천시 임고면 선원리,CR005,사과,55,57,66,275,43
4723037023,경상북도 영천시 임고면 덕연리,CR005,사과,89,32,49,209,32
4723037024,경상북도 영천시 임고면 삼매리,CR005,사과,48,57,102,790,41
4723037025,경상북도 영천시 임고면 평천리,CR005,사과,59,27,76,94,5
4723037026,경상북도 영천시 임고면 황강리,CR005,사과,12,9,41,78,5
4723037027,경상북도 영천시 임고면 효리,CR005,사과,48,67,107,437,23
4723037028,경상북도 영천시 임고면 금대리,CR005,사과,82,38,99,597,25
4723037029,경상북도 영천시 임고면 사리,CR005,사과,36,64,145,1055,71
4723037030,경상북도 영천시 임고면 수성리,CR005,사과,24,38,89,1786,14
4723037031,경상북도 영천시 임고면 우항리,CR005,사과,63,11,138,69,30
4723037032,경상북도 영천시 임고면 고천리,CR005,사과,17,42,39,219,13
4723037033,경상북도 영천시 임고면 매호리,CR005,사과,31,31,82,306,17
4723037034,경상북도 영천시 임고면 양평리,CR005,사과,39,0,87,18,7
4723038000,경상북도 영천시 고경면,CR005,사과,532,1014,1169,8942,351
4723038021,경상북도 영천시 고경면 단포리,CR005,사과,95,6,2,0,36
4723038022,경상북도 영천시 고경면 창하리,CR005,사과,33,35,142,30,16
4723038023,경상북도 영천시 고경면 창상리,CR005,사과,31,16,29,56,15
