alfisols_Area,andisols_Area,bjd_Nm,entisols_Area,etc_Area,histosols_Area,inceptisols_Area,mollisols_Area,stdg_Cd,ultisols_Area
0,0,경상북도 안동시 풍천면 가곡리,75,21,0,327,0,4717034031,0
18,0,경상북도 안동시 풍천면 하회리,54,95,0,404,0,4717034033,0
367,0,경상북도 안동시 일직면,1194,341,0,6668,0,4717035000,2
65,0,경상북도 안동시 일직면 귀미리,48,64,0,647,0,4717035021,0
65,0,경상북도 안동시 일직면 망호리,31,14,0,300,0,4717035023,0
138,0,경상북도 영천시 조교동,44,36,0,12,0,4723010100,0
72,0,경상북도 영천시 야사동,4,5,0,160,0,4723010300,0
15,0,경상북도 영천시 문외동,4,0,0,44,0,4723010500,0
8,0,경상북도 영주시 안정면 대평리,3,7,0,135,0,4721035032,6
19,0,경상북도 영주시 안정면 오계리,20,7,0,477,0,4721035033,29
33,0,경상북도 영덕군 남정면 사암리,0,3,0,937,0,4777032042,4
60,0,전라남도 영광군 법성면 입암리,0,22,0,278,0,4687037026,0
15,0,전라남도 영광군 법성면 월산리,0,10,0,200,0,4687037028,115
4,0,전라남도 보성군 겸백면 용산리,0,32,0,405,0,4678033026,0
0,0,전라남도 장성군 북하면 동현리,38,101,0,197,0,4688040030,0
5,0,전라남도 장성군 장성읍 용곡리,327,147,0,124,0,4688025036,0
141,0,울산광역시 울주군 온양읍,188,124,0,4771,0,3171025600,1226
11,0,울산광역시 울주군 온양읍 발리,4,8,0,491,0,3171025621,169
44,0,울산광역시 울주군 온양읍 망양리,22,18,0,350,0,3171025623,21
5,0,울산광역시 울주군 온양읍 남창리,16,16,0,92,0,3171025624,0
53,0,경상북도 포항시남구 대송면 송동리,0,8,0,53,0,4711131026,115
36,0,경상북도 포항시남구 대송면 제내리,20,19,0,21,0,4711131027,0
6,0,경상북도 포항시남구 대송면 옥명리,0,0,0,56,0,4711131028,181
350,0,경상북도 포항시남구 동해면,210,34,0,3561,0,4711132000,229
17,0,경상북도 포항시남구 동해면 약전리,13,0,0,85,0,4711132022,0
0,0,충청북도 음성군 맹동면 통동리,544,44,0,161,0,4377033029,0
282,0,충청북도 음성군 대소면,11,92,0,3355,0,4377034000,74
1,0,충청북도 음성군 맹동면 본성리,0,1,0,114,0,4377033027,0
219,0,경기도 광주시 도척면,411,99,0,4483,0,4161033000,5
51,0,경기도 광주시 도척면 유정리,70,17,0,367,0,4161033022,0
9,0,경기도 화성시 봉담읍 유리,0,27,0,143,0,4159025332,0
98,0,경기도 화성시 봉담읍,63,124,0,3822,0,4159025300,175
11,0,경기도 화성시 봉담읍 내리,16,3,0,516,0,4159025322,0
18,0,경기도 화성시 봉담읍 수영리,1,2,0,208,0,4159025323,74
0,0,경기도 화성시 봉담읍 와우리,0,0,0,150,0,4159025325,6
2,0,경기도 화성시 봉담읍 수기리,0,5,0,119,0,4159025326,0
22,0,경기도 화성시 봉담읍 왕림리,0,0,0,250,0,4159025328,0
1,0,경기도 화성시 봉담읍 세곡리,2,2,0,136,0,4159025329,0
80,0,전라남도 신안군 자은면 유천리,120,24,0,354,0,4691033024,2
153,0,전라남도 신안군 자은면 유각리,81,43,0,368,0,4691033025,30
79,0,전라남도 신안군 자은면 면전리,33,10,0,129,0,4691033026,6
180,0,전라남도 신안군 자은면 고장리,239,29,0,301,0,4691033028,2
143,0,전라남도 신안군 자은면 구영리,119,8,0,162,0,4691033029,0
76,0,전라남도 신안군 비금면 광대리,145,22,0,204,0,4691034021,0
54,0,전라남도 신안군 비금면 용소리,17,6,0,120,0,4691034022,0
