bjd_Nm,etc_Area,excespoor_Drain_Area,exceswell_Drain_Area,moderpoor_Drain_Area,moderwell_Drain_Area,poor_Drain_Area,stdg_Cd,well_Drain_Area
경상남도 사천시 곤명면 조장리,11,0,170,37,50,0,4824036023,21
경상남도 사천시 곤명면 봉계리,14,0,251,68,38,0,4824036024,65
경상남도 사천시 곤명면 삼정리,2,0,7,5,80,0,4824036026,276
경상남도 사천시 곤명면 마곡리,6,3,438,77,10,0,4824036028,96
경상남도 사천시 곤명면 성방리,10,0,513,112,4,0,4824036029,131
경상남도 김해시 안동,9,12,69,64,10,9,4825012000,56
경상남도 김해시 서상동,0,0,0,0,0,0,4825010200,28
경상남도 김해시 부원동,10,0,7,88,0,73,4825010300,21
경상남도 김해시 대성동,2,0,11,12,2,0,4825010500,29
충청남도 예산군 예산읍 관작리,8,2,173,46,37,0,4481025028,159
충청남도 예산군 예산읍 창소리,7,4,1,45,99,0,4481025029,85
충청남도 예산군 예산읍 신례원리,0,0,67,37,52,0,4481025030,202
경상북도 의성군 안평면 창길리,12,0,685,42,68,0,4773046034,133
경상북도 의성군 안평면 괴산리,8,0,428,16,50,0,4773046035,104
경상북도 영천시 금호읍 원기리,4,0,0,4,62,0,4723025037,22
경상북도 영천시 금호읍 신대리,37,0,28,0,99,0,4723025038,81
경상북도 영천시 금호읍 남성리,15,0,192,41,17,0,4723025039,93
경상북도 영천시 금호읍 황정리,45,0,29,1,84,0,4723025041,82
경상북도 영천시 청통면 호당리,22,0,161,26,100,0,4723031021,62
경상북도 영천시 청통면 우천리,13,0,200,64,19,0,4723031022,177
경상북도 영천시 청통면 신덕리,8,0,323,29,40,0,4723031024,93
경상북도 영천시 금호읍 관정리,20,0,1,0,106,0,4723025030,14
경상북도 영천시 금호읍 구암리,38,0,217,83,42,0,4723025031,106
경상북도 영천시 금호읍 대곡리,8,0,163,18,49,0,4723025033,49
경상북도 영천시 금호읍 호남리,42,0,106,59,30,0,4723025034,58
경상북도 영천시 화산면 유성리,17,0,140,42,83,0,4723033033,108
경상남도 김해시 상동면,379,4,4130,59,782,0,4825036000,1517
경상남도 김해시 한림면 용덕리,6,0,8,33,67,0,4825034025,220
경상남도 김해시 한림면 안곡리,5,0,270,0,81,0,4825034026,162
경상남도 김해시 한림면 장방리,81,0,4,173,150,0,4825034028,307
경상남도 김해시 한림면 시산리,267,0,49,70,308,0,4825034029,56
경상남도 김해시 주촌면,85,31,864,346,491,39,4825032000,1270
경상남도 김해시 주촌면 원지리,11,0,195,40,86,0,4825032022,270
경상남도 김해시 주촌면 덕암리,7,0,186,4,94,0,4825032023,209
충청남도 논산시 광석면 율리,0,0,0,95,38,0,4423032032,115
충청남도 논산시 광석면 오강리,0,0,0,60,29,18,4423032033,66
충청남도 논산시 노성면 읍내리,1,6,2,63,9,0,4423033021,244
충청남도 논산시 노성면 두사리,0,3,3,23,2,0,4423033022,88
충청남도 논산시 노성면 송당리,5,7,45,62,19,0,4423033023,184
충청남도 논산시 노성면 하도리,12,0,34,127,22,0,4423033025,122
경상북도 영주시 부석면 보계리,0,101,446,52,15,0,4721039030,162
경상북도 영천시 금호읍 오계리,11,0,33,16,92,0,4723025036,74
경상남도 합천군 대양면,177,6,2178,263,467,3,4889041000,2605
경상남도 합천군 대양면 정양리,91,0,131,7,19,0,4889041021,153
경상남도 합천군 대양면 아천리,33,0,257,22,10,0,4889041022,91
경상남도 합천군 대양면 무곡리,13,0,349,26,92,0,4889041024,261
경상남도 합천군 대양면 덕정리,9,6,64,38,44,3,4889041025,231
경상남도 김해시 진례면 신안리,24,0,396,15,104,0,4825033025,260
경상남도 김해시 진례면 산본리,13,0,316,38,91,0,4825033026,106
경상남도 김해시 진례면 신월리,4,0,82,3,106,0,4825033027,43
경상남도 김해시 진례면 담안리,13,0,84,68,131,0,4825033029,139
경상남도 김해시 한림면,527,0,931,740,1260,0,4825034000,2468
경상남도 김해시 한림면 명동리,11,0,38,50,80,0,4825034021,270
경상남도 김해시 한림면 병동리,11,0,92,55,112,0,4825034023,263
충청남도 보령시 미산면 늑전리,16,18,291,16,2,0,4418039025,84
충청남도 보령시 미산면 도흥리,0,0,776,0,46,0,4418039026,96
충청남도 보령시 미산면 봉성리,6,12,258,17,24,0,4418039027,56
충청남도 보령시 미산면 은현리,0,37,137,10,2,0,4418039029,75
충청남도 보령시 미산면 내평리,4,25,233,3,20,0,4418039030,57
충청남도 논산시 노성면 죽림리,0,14,14,76,70,0,4423033026,101
충청남도 논산시 광석면 갈산리,0,10,1,180,40,29,4423032024,103
충청남도 논산시 광석면 광리,0,0,0,109,8,0,4423032025,18
충청남도 논산시 광석면 산동리,0,3,0,226,7,0,4423032027,8
충청남도 논산시 광석면 왕전리,3,0,34,142,15,0,4423032029,82
충청남도 논산시 광석면 항월리,7,0,27,99,12,0,4423032030,146
경상북도 안동시 일직면 조탑리,33,0,505,0,60,0,4717035030,108
경상북도 안동시 풍천면 금계리,8,0,576,2,73,0,4717034027,90
경상북도 안동시 풍천면 구호리,12,0,371,14,62,0,4717034028,48
경상북도 안동시 풍천면 어담리,8,0,1228,43,153,0,4717034029,192
경상북도 안동시 풍천면 가곡리,21,6,178,110,65,0,4717034031,43
경상북도 안동시 풍천면 하회리,95,0,229,63,98,0,4717034033,87
