bjd_Nm,posifertk_Fachs1_Area,posifertk_Fachs2_Area,posifertk_Fachs3_Area,posifertk_Fachs4_Area,posifertk_Fachs5_Area,posifertk_Fachs6_Area,posifertk_Fruit1_Area,posifertk_Fruit2_Area,posifertk_Fruit3_Area,posifertk_Fruit4_Area,posifertk_Fruit5_Area,posifertk_Fruit6_Area,posifertk_Pfld1_Area,posifertk_Pfld2_Area,posifertk_Pfld3_Area,posifertk_Pfld4_Area,posifertk_Pfld5_Area,posifertk_Pfld6_Area,posifertk_Rfld1_Area,posifertk_Rfld2_Area,posifertk_Rfld3_Area,posifertk_Rfld4_Area,posifertk_Rfld5_Area,posifertk_Rfld6_Area,stdg_Cd
경상남도 사천시 곤양면 흥사리,-,-,-,-,-,-,0,1,0,0,0,2,0,0,0,0,2,22,9,5,11,4,1,1,4824035028
경상북도 영양군 청기면 정족리,-,-,-,-,-,-,1,1,5,1,2,24,7,16,28,31,28,117,6,25,9,3,2,3,4776032034
경상북도 영천시 화산면 부계리,-,-,-,-,-,-,0,0,0,0,0,5,0,0,0,0,1,7,0,0,0,2,1,1,4723033034
경상북도 영천시 쌍계동,-,-,-,-,-,-,0,0,1,2,3,15,-,-,-,-,-,-,-,-,-,-,-,-,4723012500
경상북도 영천시 도남동,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,2,8,0,0,1,1,0,2,4723012600
경상북도 영천시 매산동,-,-,-,-,-,-,0,0,2,2,2,51,0,0,0,0,0,8,0,0,1,1,0,1,4723012700
경상북도 영천시 언하동,0,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,1,0,2,2,3,2,7,4723012800
경상북도 영천시 서산동,-,-,-,-,-,-,0,0,1,1,1,33,-,-,-,-,-,-,0,0,0,1,2,5,4723013000
경상북도 영천시 금호읍,1,1,2,4,7,59,1,10,20,35,33,571,1,5,11,18,34,622,0,0,1,1,0,4,4723025000
경상북도 영천시 금호읍 덕성리,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,1,4,38,-,-,-,-,-,-,4723025022
