bjd_Nm,posifertk_Fachs1_Area,posifertk_Fachs2_Area,posifertk_Fachs3_Area,posifertk_Fachs4_Area,posifertk_Fachs5_Area,posifertk_Fachs6_Area,posifertk_Fruit1_Area,posifertk_Fruit2_Area,posifertk_Fruit3_Area,posifertk_Fruit4_Area,posifertk_Fruit5_Area,posifertk_Fruit6_Area,posifertk_Pfld1_Area,posifertk_Pfld2_Area,posifertk_Pfld3_Area,posifertk_Pfld4_Area,posifertk_Pfld5_Area,posifertk_Pfld6_Area,posifertk_Rfld1_Area,posifertk_Rfld2_Area,posifertk_Rfld3_Area,posifertk_Rfld4_Area,posifertk_Rfld5_Area,posifertk_Rfld6_Area,stdg_Cd
경기도 성남시분당구 백현동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,4113511000
경기도 성남시분당구 금곡동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,4113511100
경기도 성남시분당구 동원동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,3,2,2,1,4113511300
부산광역시 사상구 괘법동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2653010400
부산광역시 사상구 주례동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,2653010600
부산광역시 사상구 학장동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2653010700
부산광역시 기장군,0,1,1,1,1,8,1,11,1,0,1,20,99,16,23,21,34,815,71,275,252,137,58,83,2671000000
부산광역시 기장군 기장읍 동부리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-,2671025021
부산광역시 기장군 기장읍 신천리,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,7,1,2,2,0,0,0,2671025023
부산광역시 기장군 기장읍 죽성리,-,-,-,-,-,-,-,-,-,-,-,-,20,0,0,1,0,44,0,1,1,0,0,0,2671025024
부산광역시 기장군 기장읍 대라리,-,-,-,-,-,-,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,2671025026
부산광역시 기장군 기장읍 청강리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,11,1,1,0,1,0,0,2671025027
부산광역시 기장군 기장읍 연화리,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,0,0,21,-,-,-,-,-,-,2671025029
부산광역시 수영구 망미동,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,-,-,-,-,-,-,2650010100
대전광역시 동구 상소동,-,-,-,-,-,-,0,0,0,0,0,1,0,1,1,0,0,4,1,3,4,1,0,1,3011014400
대전광역시 동구 하소동,-,-,-,-,-,-,0,0,0,0,0,2,0,0,0,0,0,2,0,6,11,1,0,0,3011014500
대전광역시 중구,0,0,0,0,1,9,1,0,0,1,0,3,5,5,7,6,5,31,6,37,29,16,4,10,3014000000
대전광역시 동구 세천동,-,-,-,-,-,-,0,0,3,0,3,0,0,1,0,0,3,0,1,3,1,1,1,0,3011012800
대전광역시 동구 가오동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,0,-,-,-,-,-,-,3011010500
경상북도 경주시 강동면 인동리,0,1,2,1,2,4,-,-,-,-,-,-,0,1,1,5,1,49,1,14,23,11,3,10,4713037030
경상북도 경주시 천북면,1,8,12,11,11,124,1,0,1,6,13,47,4,6,29,10,13,281,4,83,63,94,31,181,4713038000
경상북도 김천시 부항면 지좌리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,4715043023
경상북도 김천시 부항면 월곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,1,1,2,0,0,1,0,0,0,4715043025
경상북도 김천시 부항면 하대리,-,-,-,-,-,-,1,0,1,0,0,0,0,0,0,1,0,1,-,-,-,-,-,-,4715043027
경상북도 김천시 부항면 해인리,-,-,-,-,-,-,0,0,1,0,2,6,0,1,1,2,1,2,-,-,-,-,-,-,4715043028
경상북도 안동시 서후면,0,2,1,0,2,16,4,2,6,3,5,102,9,34,28,29,20,115,41,68,31,12,7,6,4717033000
경상북도 안동시 와룡면 가류리,-,-,-,-,-,-,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,4717031035
경상북도 안동시 와룡면 절강리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4717031037
경상북도 안동시 와룡면 오천리,-,-,-,-,-,-,0,1,2,1,1,2,0,2,1,2,1,5,4,3,4,2,1,0,4717031038
경상북도 안동시 북후면 옹천리,-,-,-,-,-,-,0,1,3,2,5,18,0,2,2,2,2,10,3,2,6,1,1,1,4717032021
경상북도 안동시 북후면 장기리,-,-,-,-,-,-,0,1,2,3,3,15,2,6,7,5,2,8,13,12,3,1,1,0,4717032022
경상북도 봉화군 봉성면 외삼리,-,-,-,-,-,-,1,5,5,5,5,32,1,6,9,5,5,21,3,11,21,18,5,11,4792032023
경상북도 봉화군 봉성면 창평리,-,-,-,-,-,-,2,5,4,5,8,54,2,10,5,8,3,38,5,13,4,3,3,13,4792032024
경상북도 봉화군 봉성면 금봉리,1,1,1,5,1,6,0,7,23,18,16,129,3,23,7,5,11,64,4,16,31,26,3,7,4792032026
대구광역시 중구 수창동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2711013000
충청북도 옥천군 옥천읍,0,3,4,2,1,5,4,6,12,15,13,162,3,13,19,15,17,97,29,71,112,70,34,43,4373025000
충청북도 옥천군 군서면 금산리,0,1,0,0,1,2,0,0,1,1,1,7,1,1,4,3,3,15,2,5,6,4,2,5,4373037022
충청북도 옥천군 군서면 사정리,0,0,1,1,0,1,0,0,0,0,1,6,0,3,2,3,2,10,3,20,19,6,8,2,4373037023
충청북도 옥천군 군서면 은행리,0,1,0,0,0,11,0,0,0,0,1,13,0,1,4,3,2,17,0,19,23,16,5,7,4373037025
충청북도 영동군 황간면 노근리,-,-,-,-,-,-,1,1,1,1,1,4,0,2,2,4,8,42,1,8,9,5,2,1,4374032032
충청북도 영동군 황간면 서송원리,-,-,-,-,-,-,1,5,4,7,6,26,1,6,16,33,37,175,9,10,5,3,1,0,4374032033
충청북도 옥천군 이원면 미동리,-,-,-,-,-,-,1,9,2,4,3,50,0,0,1,1,1,13,1,1,1,1,0,0,4373036030
충청북도 옥천군 이원면 원동리,-,-,-,-,-,-,1,1,1,3,0,18,2,4,2,2,1,14,1,1,2,0,0,0,4373036032
충청북도 옥천군 이원면 백지리,0,0,0,0,0,1,0,1,1,3,3,17,0,0,2,1,1,10,1,1,2,1,0,0,4373036033
충청북도 옥천군 이원면 용방리,0,0,1,0,0,0,0,2,1,2,1,7,2,6,4,3,2,7,4,33,15,9,3,1,4373036035
서울특별시 영등포구 여의도동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1156011000
서울특별시 양천구 신월동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,2,-,-,-,-,-,-,1147010300
서울특별시 용산구 후암동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,1,-,-,-,-,-,-,1117010100
서울특별시 광진구 군자동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1121510900
서울특별시 중구 예관동,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,1114013500
서울특별시 노원구 중계동,-,-,-,-,-,-,0,0,0,0,0,2,0,0,0,1,0,4,-,-,-,-,-,-,1135010600
서울특별시 마포구 대흥동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,1144010800
서울특별시 마포구 염리동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1144010900
서울특별시 마포구 노고산동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1144011000
서울특별시 은평구 신사동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,1138010900
서울특별시 서대문구 충정로2가,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,1141010100
충청북도 단양군 가곡면 어의곡리,-,-,-,-,-,-,0,0,0,0,0,1,0,2,3,7,8,45,1,3,2,0,0,0,4380032026
충청북도 단양군 가곡면 보발리,-,-,-,-,-,-,0,1,0,0,1,2,2,8,24,22,28,194,0,1,0,0,0,0,4380032027
충청북도 단양군 영춘면,0,0,0,0,0,2,0,1,2,3,5,24,52,125,159,189,172,1055,4,23,30,21,10,17,4380033000
충청북도 단양군 영춘면 상리,-,-,-,-,-,-,-,-,-,-,-,-,2,5,12,10,11,71,2,7,6,2,1,1,4380033021
충청북도 단양군 영춘면 남천리,-,-,-,-,-,-,0,0,1,0,1,4,12,16,5,9,6,20,0,2,2,0,0,0,4380033023
충청북도 단양군 영춘면 의풍리,-,-,-,-,-,-,0,0,0,1,0,5,12,21,28,23,16,61,1,0,1,0,0,0,4380033025
충청북도 단양군 영춘면 동대리,-,-,-,-,-,-,0,0,0,0,0,1,4,26,21,21,12,26,0,2,2,0,0,0,4380033026
충청북도 단양군 영춘면 유암리,-,-,-,-,-,-,0,0,0,0,2,2,1,3,7,22,11,168,0,0,9,13,8,13,4380033029
충청북도 단양군 영춘면 사이곡리,-,-,-,-,-,-,0,0,0,0,0,2,0,0,2,1,2,83,0,0,1,1,0,0,4380033030
충청북도 단양군 대강면 미노리,-,-,-,-,-,-,0,0,0,1,1,5,2,3,1,3,1,43,0,1,1,0,0,0,4380031039
전라남도 담양군 용면 용치리,0,0,0,0,0,18,-,-,-,-,-,-,0,2,2,3,2,40,1,3,0,0,0,0,4671038028
충청남도 태안군 원북면 마산리,-,-,-,-,-,-,-,-,-,-,-,-,0,3,2,1,3,58,24,52,25,12,4,5,4482535031
충청남도 부여군 옥산면,1,5,16,14,13,116,135,116,53,14,26,58,0,6,18,14,12,32,5,45,101,66,28,38,4476037000
충청남도 부여군 옥산면 상기리,0,0,3,1,3,16,27,10,3,0,0,1,0,1,3,2,2,4,1,8,7,5,3,2,4476037021
경기도 안양시동안구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4117300000
경기도 안양시동안구 비산동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4117310100
경기도 평택시 현덕면 도대리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,3,2,21,0,1,10,16,21,13,4122037021
경기도 평택시 현덕면 화양리,0,0,0,0,0,1,-,-,-,-,-,-,0,0,0,0,1,14,0,0,2,2,3,3,4122037023
경기도 평택시 현덕면 황산리,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,2,1,73,0,2,18,45,54,34,4122037024
경기도 평택시 현덕면 덕목리,0,0,0,0,0,6,0,0,0,0,0,2,0,5,0,2,1,38,0,3,13,18,23,14,4122037026
충청북도 보은군 탄부면 사직리,-,-,-,-,-,-,0,1,0,0,0,2,1,3,1,3,1,18,15,13,2,1,0,18,4372034031
충청북도 보은군 탄부면 임한리,-,-,-,-,-,-,0,1,0,0,0,5,1,0,1,0,0,1,16,18,5,3,2,0,4372034033
충청북도 보은군 삼승면,1,0,0,0,0,0,30,39,52,51,59,208,14,34,37,47,49,419,224,305,314,142,26,25,4372035000
충청북도 보은군 삼승면 내망리,-,-,-,-,-,-,0,5,5,5,5,26,2,8,8,5,3,89,36,13,2,1,0,0,4372035022
충청북도 보은군 삼승면 달산리,-,-,-,-,-,-,1,1,2,1,1,3,0,2,3,4,3,16,8,59,42,3,4,0,4372035024
충청북도 보은군 삼승면 송죽리,-,-,-,-,-,-,2,1,4,5,10,21,0,3,0,1,3,19,9,20,202,119,14,14,4372035025
충청북도 보은군 탄부면 상장리,-,-,-,-,-,-,0,0,1,0,1,1,2,3,1,1,1,24,184,229,65,21,6,9,4372034027
경상북도 울진군 울진읍 읍내리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,2,2,6,2,0,0,0,4793025021
충청남도 부여군 규암면 석우리,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,2,1,4,1,3,1,2,4476031038
충청남도 부여군 은산면,4,18,27,26,34,172,20567,1729,854,423,288,496,12,32,41,38,18,49,25,125,133,116,41,44,4476032000
충청남도 부여군 은산면 신대리,1,0,0,0,2,4,1,18,37,7,11,14,2,3,2,3,0,0,1,8,8,7,3,1,4476032021
충청남도 부여군 내산면 금지리,0,0,0,0,0,1,17,107,36,29,48,26,4,0,0,0,0,1,1,7,5,4,1,2,4476034028
충청남도 부여군 내산면 율암리,0,3,0,1,2,10,10,82,36,13,12,11,3,1,2,2,1,7,2,11,9,6,2,4,4476034030
전라남도 보성군 노동면 용호리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,3,5,68,2,24,40,27,18,22,4678031026
전라남도 보성군 노동면 신천리,-,-,-,-,-,-,-,-,-,-,-,-,2,0,11,9,11,29,0,4,4,3,2,4,4678031028
전라남도 보성군 노동면 명봉리,-,-,-,-,-,-,-,-,-,-,-,-,1,0,2,6,1,39,0,5,15,9,4,12,4678031030
전라남도 보성군 율어면,0,0,0,0,0,2,1,28,40,9,9,22,5,6,24,35,45,482,61,230,153,94,75,385,4678034000
전라남도 보성군 율어면 율어리,-,-,-,-,-,-,-,-,-,-,-,-,3,4,3,2,7,75,3,37,28,19,15,22,4678034021
전라남도 보성군 율어면 선암리,-,-,-,-,-,-,0,0,4,1,0,1,0,0,7,4,1,40,0,14,12,9,3,7,4678034023
전라남도 보성군 율어면 칠음리,-,-,-,-,-,-,0,3,8,5,3,0,0,0,5,4,6,45,15,24,9,7,6,33,4678034025
전라남도 보성군 벌교읍 옥전리,0,0,0,0,0,1,0,8,7,1,0,1,0,0,1,0,3,64,1,33,22,18,7,15,4678025342
전라남도 보성군 조성면 우천리,0,0,0,0,0,2,0,0,0,0,0,5,0,0,7,4,0,16,0,4,17,4,2,10,4678037028
전라남도 보성군 조성면 덕산리,0,0,0,0,0,2,0,0,0,0,0,4,0,1,1,2,4,21,16,40,178,131,116,570,4678037030
전라남도 보성군 조성면 용전리,0,0,0,0,0,4,0,0,0,0,0,1,0,5,1,4,14,42,7,37,160,105,99,271,4678037032
전라남도 보성군 득량면,0,0,1,0,0,32,0,27,47,47,12,127,9,67,129,163,118,1173,63,410,536,648,651,3404,4678038000
경상북도 문경시 산양면 과곡리,-,-,-,-,-,-,1,0,0,0,0,1,1,7,7,6,6,26,41,88,45,27,13,15,4728032024
경상북도 문경시 산양면 형천리,-,-,-,-,-,-,0,0,0,2,0,4,0,1,0,1,1,3,5,34,18,7,3,4,4728032025
경상북도 문경시 산양면 위만리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,3,3,4,11,1,4,6,1,1,1,4728032026
경상북도 문경시 산양면 연소리,-,-,-,-,-,-,0,0,0,0,0,3,1,2,7,2,5,21,1,5,4,1,0,2,4728032028
경상북도 문경시 산양면 불암리,0,0,0,0,0,2,-,-,-,-,-,-,0,2,1,1,0,2,1,1,3,1,1,1,4728032029
경상북도 문경시 산양면 봉정리,-,-,-,-,-,-,0,1,2,0,0,0,0,3,6,5,6,15,1,4,7,2,1,1,4728032031
경상북도 문경시 산양면 반곡리,-,-,-,-,-,-,1,0,0,1,0,1,2,6,7,6,2,17,1,13,14,13,13,31,4728032033
경상북도 문경시 산양면 평지리,-,-,-,-,-,-,0,0,2,0,0,2,0,2,2,2,1,4,0,6,3,1,1,1,4728032034
경상북도 문경시 산북면 석봉리,-,-,-,-,-,-,0,1,2,2,4,38,0,0,3,4,12,73,0,4,8,3,1,0,4728034026
경상북도 문경시 산북면 김용리,-,-,-,-,-,-,0,0,0,0,2,12,0,1,0,1,5,22,1,5,5,4,1,9,4728034027
경상북도 문경시 산북면 전두리,-,-,-,-,-,-,0,1,4,4,3,37,2,4,0,3,3,50,0,1,1,0,0,0,4728034029
경상북도 문경시 산양면 부암리,-,-,-,-,-,-,0,1,1,1,0,5,0,0,1,1,1,8,1,4,4,1,0,1,4728032023
경상북도 울진군 울진읍,-,-,-,-,-,-,-,-,-,-,-,-,2,3,4,4,2,58,64,160,113,42,21,41,4793025000
전라남도 여수시 남면 두라리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4613034027
전라남도 여수시 남면 화태리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,2,3,1,4613034028
전라남도 여수시 화정면,-,-,-,-,-,-,-,-,-,-,-,-,3,9,18,19,32,484,1,7,11,16,12,26,4613035000
전라남도 여수시 화정면 백야리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,4,65,1,1,1,0,0,0,4613035021
전라남도 여수시 화양면 이목리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,4,11,116,2,3,9,2,16,15,4613033028
전라남도 여수시,2,7,2,3,5,68,1,5,9,16,13,81,37,143,249,352,430,4418,469,1010,929,857,738,1041,4613000000
전라남도 여수시 종화동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4613010100
전라남도 여수시 수정동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4613010200
충청남도 공주시 유구읍 동해리,-,-,-,-,-,-,0,20,13,13,28,9,2,5,3,3,3,59,1,6,2,0,0,0,4415025037
충청남도 공주시 유구읍 만천리,0,0,0,1,0,0,0,12,19,11,9,0,0,0,0,2,4,17,1,39,77,29,29,59,4415025038
충청남도 공주시 이인면 이인리,0,0,0,0,0,1,4,4,9,0,0,9,0,1,2,2,1,4,2,2,1,0,0,1,4415031021
충청남도 공주시 이인면 만수리,-,-,-,-,-,-,-,-,-,-,-,-,0,42,1,1,2,10,13,86,25,7,5,7,4415031022
충청남도 공주시 이인면 신흥리,0,0,0,0,1,7,0,0,0,0,0,1,0,0,1,1,4,22,3,38,42,11,4,6,4415031024
충청남도 공주시 이인면 주봉리,0,0,0,0,4,11,0,5,0,0,0,8,1,2,2,1,1,7,7,23,10,7,3,3,4415031025
충청남도 공주시 이인면 발양리,0,0,0,0,1,23,11,18,23,42,12,10,0,1,2,4,1,9,6,170,43,17,7,6,4415031027
충청남도 공주시 이인면 용성리,0,1,0,0,0,45,10,34,28,4,8,16,0,1,1,1,1,13,26,35,13,2,4,2,4415031029
충청남도 보령시 주산면 유곡리,0,0,0,0,0,3,-,-,-,-,-,-,0,0,1,3,3,8,0,9,23,7,4,2,4418038025
충청남도 서산시 해미면 양림리,-,-,-,-,-,-,-,-,-,-,-,-,13,0,0,0,0,2,0,5,9,8,6,5,4421039037
충청남도 서산시 해미면 기지리,-,-,-,-,-,-,-,-,-,-,-,-,14,0,2,2,2,50,0,5,15,20,14,7,4421039038
충청남도 서산시 해미면 언암리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,10,109,4421039039
충청남도 논산시,420,226,324,340,314,3033,80,32,46,51,48,898,678,240,348,335,305,2147,4045,2450,2893,1805,888,1070,4423000000
충청남도 논산시 화지동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4423010100
충청남도 논산시 대교동,0,0,0,0,0,1,-,-,-,-,-,-,0,0,0,0,0,2,17,0,0,0,0,0,4423010300
충청남도 논산시 부창동,0,0,0,1,0,1,-,-,-,-,-,-,0,0,0,0,0,1,14,6,21,12,5,4,4423010400
충청남도 태안군 이원면 당산리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,3,4,4,101,16,83,83,115,71,57,4482536023
충청남도 태안군 이원면 포지리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,6,6,74,13,38,40,35,36,37,4482536024
서울특별시 중구 남산동3가,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1114013000
서울특별시 종로구 삼청동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1111014000
서울특별시 종로구 무악동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1111018700
부산광역시 영도구,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,1,-,-,-,-,-,-,2620000000
충청북도 보은군 보은읍 교사리,-,-,-,-,-,-,0,0,0,0,0,1,1,4,2,1,3,11,7,11,4,2,1,2,4372025024
충청북도 보은군 보은읍 수정리,-,-,-,-,-,-,0,0,0,0,0,1,0,1,0,0,0,9,3,5,10,6,1,1,4372025025
충청북도 보은군 보은읍 금굴리,-,-,-,-,-,-,0,0,0,0,0,1,2,4,2,1,3,19,6,25,26,16,9,10,4372025027
충청북도 보은군 보은읍 월송리,-,-,-,-,-,-,0,0,0,0,0,4,0,1,2,3,1,15,27,26,11,12,3,1,4372025028
충청북도 보은군 보은읍 성주리,-,-,-,-,-,-,1,1,1,0,0,2,2,2,3,3,7,14,5,7,6,6,3,2,4372025030
대전광역시 중구 침산동,0,0,0,0,0,1,-,-,-,-,-,-,0,0,0,0,0,3,1,8,3,2,0,2,3014012200
대전광역시 중구 목달동,0,0,0,0,1,3,0,0,0,1,0,2,0,1,2,1,1,5,1,4,2,2,0,2,3014012300
대전광역시 중구 정생동,0,0,0,0,0,1,-,-,-,-,-,-,0,2,2,2,3,7,2,12,8,5,1,4,3014012400
대전광역시 중구 어남동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,1,0,0,1,0,0,0,3014012500
경상북도 김천시 부항면 대야리,-,-,-,-,-,-,1,1,1,1,4,9,1,2,0,2,1,1,0,0,0,1,0,0,4715043029
경상북도 김천시 지례면 대율리,-,-,-,-,-,-,2,0,4,1,0,1,-,-,-,-,-,-,1,0,0,0,0,0,4715042023
경상북도 김천시 지례면 거물리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4715042024
경상북도 김천시 지례면 도곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,1,0,2,0,0,0,1,4715042025
경상북도 김천시 지례면 관덕리,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,4715042026
경상북도 김천시 지례면 이전리,-,-,-,-,-,-,0,1,1,0,0,1,0,2,0,0,0,2,-,-,-,-,-,-,4715042028
경상북도 김천시 지례면 울곡리,-,-,-,-,-,-,1,1,0,0,0,0,0,3,1,0,1,2,-,-,-,-,-,-,4715042029
경상북도 김천시 부항면,0,0,0,1,0,2,2,6,7,5,10,20,2,4,3,8,4,15,2,3,1,1,0,3,4715043000
경상북도 김천시 부항면 신옥리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4715043021
경상북도 구미시 선산읍 봉곡리,-,-,-,-,-,-,-,-,-,-,-,-,1,18,15,4,3,5,10,48,26,12,9,30,4719025035
경상북도 구미시 선산읍 포상리,0,0,0,0,0,1,1,2,1,1,0,3,2,5,2,2,1,5,7,23,10,2,3,2,4719025036
경상북도 영주시 조암동,-,-,-,-,-,-,0,0,0,2,1,1,0,1,0,1,2,0,0,1,1,1,2,0,4721011100
경상북도 영주시 적서동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,0,1,0,0,2,1,1,0,4721011200
경상북도 영주시 아지동,0,0,1,0,0,0,0,0,0,0,1,2,0,1,3,3,1,6,0,1,2,2,0,0,4721011300
경상북도 영주시 풍기읍,15,31,34,21,10,20,17,80,131,151,150,587,7,42,39,64,64,153,12,38,45,35,19,14,4721025000
경상북도 영주시 풍기읍 동부리,3,4,1,2,1,2,0,0,5,3,3,12,0,2,2,3,3,7,0,2,4,3,1,0,4721025022
경상북도 영주시 풍기읍 산법리,4,2,4,1,1,2,1,12,16,4,20,45,0,7,2,4,3,22,1,3,5,8,1,0,4721025023
경상북도 영주시 풍기읍 삼가리,-,-,-,-,-,-,0,4,6,8,11,45,0,0,2,4,2,15,1,1,0,1,1,1,4721025025
경상북도 영천시 화북면 공덕리,-,-,-,-,-,-,0,0,0,0,0,10,0,0,0,0,1,7,-,-,-,-,-,-,4723034031
경상북도 영천시 화북면 오산리,0,0,0,0,0,1,0,2,4,6,5,84,0,0,0,0,1,21,-,-,-,-,-,-,4723034032
충청남도 부여군 옥산면 내대리,0,1,2,2,3,32,5,3,13,9,16,37,0,0,2,2,1,5,0,4,18,11,4,4,4476037030
충청남도 태안군 원북면 동해리,-,-,-,-,-,-,-,-,-,-,-,-,3,4,3,4,8,71,7,85,35,71,25,62,4482535026
충청남도 태안군 원북면 장대리,-,-,-,-,-,-,-,-,-,-,-,-,1,1,5,5,3,90,61,83,26,25,7,7,4482535028
충청남도 태안군 원북면 청산리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,4,2,2,76,5,24,48,44,17,45,4482535029
부산광역시 서구 서대신동3가,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2614010600
서울특별시 동작구 상도1동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1159010300
전라남도 보성군 득량면 비봉리,0,0,0,0,0,5,0,0,0,0,0,2,3,14,14,11,9,274,0,2,2,6,2,6,4678038026
전라남도 보성군 득량면 도촌리,-,-,-,-,-,-,0,0,0,0,0,5,0,2,2,2,2,102,1,16,17,11,14,165,4678038027
전라남도 보성군 득량면 마천리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,5,5,8,88,2,27,25,22,18,105,4678038028
전라남도 보성군 회천면,0,0,0,0,0,21,0,4,0,2,1,40,28,84,118,190,233,2239,3,47,65,102,76,417,4678039000
전라남도 보성군 회천면 율포리,-,-,-,-,-,-,-,-,-,-,-,-,4,1,2,4,4,59,0,1,3,4,3,15,4678039021
전라남도 보성군 회천면 벽교리,-,-,-,-,-,-,0,0,0,0,0,1,0,2,4,5,8,85,0,3,6,9,8,26,4678039022
전라남도 화순군 화순읍 대리,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,0,0,1,0,5,7,5,1,1,4679025033
전라남도 화순군 화순읍 강정리,0,0,0,0,0,1,-,-,-,-,-,-,1,0,0,0,0,0,0,4,9,12,6,3,4679025034
전라남도 화순군 화순읍 감도리,0,0,0,0,0,1,0,0,0,0,0,5,0,1,2,2,1,7,1,2,8,3,1,2,4679025036
전라남도 화순군 화순읍 계소리,-,-,-,-,-,-,0,0,0,0,0,1,0,0,1,0,0,3,1,14,20,20,6,3,4679025037
전라남도 화순군 화순읍 세량리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,1,2,0,1,2,1,0,0,4679025039
전라남도 화순군 화순읍 연양리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,1,0,2,0,6,12,9,4,1,4679025040
경상북도 문경시 산북면 가곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,2,2,14,0,1,3,1,0,1,4728034038
경상북도 문경시 산북면 지내리,-,-,-,-,-,-,0,0,0,0,0,1,1,3,4,5,4,5,1,14,11,5,1,1,4728034040
경상북도 문경시 산북면 흑송리,-,-,-,-,-,-,-,-,-,-,-,-,0,7,3,4,3,8,1,4,3,1,1,0,4728034041
경상북도 경산시 평산동,-,-,-,-,-,-,0,2,1,3,2,18,0,5,9,25,10,60,-,-,-,-,-,-,4729012500
경상북도 경산시 갑제동,-,-,-,-,-,-,0,1,0,1,0,6,-,-,-,-,-,-,0,7,0,0,0,1,4729012800
