aqualfs_Area,aquents_Area,aquepts_Area,aquolls_Area,aquults_Area,bjd_Nm,etc_Area,fluvents_Area,hemists_Area,humults_Area,orthents_Area,psamments_Area,saprists_Area,stdg_Cd,udalfs_Area,udands_Area,udepts_Area,udolls_Area,udults_Area
0,0,26,0,0,경상남도 합천군 대양면 무곡리,13,0,0,0,95,0,0,4889041024,1,0,607,0,0
1,0,47,0,0,경상남도 합천군 대양면 덕정리,9,0,0,0,0,0,0,4889041025,5,0,336,0,0
0,0,22,0,0,경상남도 김해시 진례면 신안리,24,0,0,0,24,0,0,4825033025,8,0,574,0,146
0,0,38,0,0,경상남도 김해시 진례면 산본리,13,0,0,0,14,0,0,4825033026,39,0,416,0,44
0,0,3,0,0,경상남도 김해시 진례면 신월리,4,2,0,0,79,0,0,4825033027,3,0,144,0,6
0,0,68,0,0,경상남도 김해시 진례면 담안리,13,6,0,0,1,0,0,4825033029,130,0,170,0,44
242,0,859,0,0,경상남도 김해시 한림면,527,8,0,0,166,80,0,4825034000,75,0,3489,0,480
2,0,48,0,0,경상남도 김해시 한림면 명동리,11,0,0,0,1,0,0,4825034021,5,0,355,0,27
0,0,55,0,0,경상남도 김해시 한림면 병동리,11,0,0,0,0,0,0,4825034023,10,0,397,0,60
0,0,34,0,0,충청남도 보령시 미산면 늑전리,16,0,0,0,0,0,0,4418039025,7,0,369,0,0
0,0,0,0,0,충청남도 보령시 미산면 도흥리,0,0,0,0,0,0,0,4418039026,3,0,915,0,0
0,0,28,0,0,충청남도 보령시 미산면 봉성리,6,0,0,0,0,0,0,4418039027,5,0,333,0,0
0,0,47,0,0,충청남도 보령시 미산면 은현리,0,0,0,0,0,0,0,4418039029,2,0,213,0,0
0,0,28,0,0,충청남도 보령시 미산면 내평리,4,0,0,0,0,0,0,4418039030,2,0,308,0,0
25,0,90,0,0,충청남도 논산시 노성면 죽림리,0,0,0,0,14,0,0,4423033026,41,0,82,0,24
121,0,99,0,0,충청남도 논산시 광석면 갈산리,0,0,0,0,0,0,0,4423032024,1,0,143,0,0
63,0,45,0,0,충청남도 논산시 광석면 광리,0,0,0,0,0,0,0,4423032025,0,0,26,0,0
105,0,124,0,0,충청남도 논산시 광석면 산동리,0,0,0,0,10,0,0,4423032027,0,0,5,0,0
0,0,142,0,0,충청남도 논산시 광석면 왕전리,3,0,0,0,5,0,0,4423032029,0,0,126,0,0
0,0,99,0,0,충청남도 논산시 광석면 항월리,7,0,0,0,9,0,0,4423032030,1,0,173,0,2
0,0,0,0,0,경상북도 안동시 일직면 조탑리,33,17,0,0,0,0,0,4717035030,19,0,638,0,0
0,0,2,0,0,경상북도 안동시 풍천면 금계리,8,0,0,0,0,0,0,4717034027,29,0,710,0,0
0,0,14,0,0,경상북도 안동시 풍천면 구호리,12,0,0,0,2,0,0,4717034028,17,0,462,0,0
0,0,43,0,0,경상북도 안동시 풍천면 어담리,8,0,0,0,16,0,0,4717034029,102,0,1456,0,0
0,0,56,0,0,경상북도 안동시 풍천면 가곡리,21,0,0,0,75,0,0,4717034031,0,0,271,0,0
0,0,45,0,0,경상북도 안동시 풍천면 하회리,95,0,0,0,45,10,0,4717034033,18,0,359,0,0
0,12,239,0,0,경상북도 안동시 일직면,341,327,0,0,848,8,0,4717035000,367,0,6429,0,2
0,0,31,0,0,경상북도 안동시 일직면 귀미리,64,11,0,0,38,0,0,4717035021,65,0,616,0,0
0,0,2,0,0,경상북도 안동시 일직면 망호리,14,10,0,0,21,0,0,4717035023,65,0,298,0,0
96,0,4,0,0,경상북도 영천시 조교동,36,24,0,0,21,0,0,4723010100,41,0,8,0,0
3,0,12,0,0,경상북도 영천시 야사동,5,4,0,0,0,0,0,4723010300,69,0,148,0,0
0,0,0,0,0,경상북도 영천시 문외동,0,4,0,0,0,0,0,4723010500,15,0,44,0,0
0,0,60,0,0,경상북도 영주시 안정면 대평리,7,1,0,0,1,1,0,4721035032,8,0,75,0,6
