allvplain_Tpgraphy_Area,alpine_Tpgraphy_Area,bjd_Nm,diluvial_Tpgraphy_Area,etc_Area,hilly_Tpgraphy_Area,lavaplain_Tpgraphy_Area,lavaplate_Tpgraphy_Area,marnplain_Tpgraphy_Area,mount_Tpgraphy_Area,piedmont_Tpgraphy_Area,stdg_Cd,valley_Tpgraphy_Area
833,0,인천광역시,2219,5082,8968,73,0,34522,29707,7571,2800000000,17182
4972,0,세종특별자치시 ,57,2378,3429,0,0,25,22648,1295,3611000000,11721
5960,0,대전광역시,184,3246,2430,0,0,0,28592,3662,3000000000,9882
12694,348,대구광역시,5557,6073,12400,0,0,0,79224,12903,2700000000,20333
9422,0,광주광역시,2254,1713,9216,0,0,0,12955,3574,2900000000,8197
2985,330,울산광역시,3612,4649,11160,0,0,2144,57837,7147,3100000000,16061
2652,4,부산광역시,234,7561,622,0,0,9945,36010,12679,2600000000,7577
