aqualfs_Area,aquents_Area,aquepts_Area,aquolls_Area,aquults_Area,bjd_Nm,etc_Area,fluvents_Area,hemists_Area,humults_Area,orthents_Area,psamments_Area,saprists_Area,stdg_Cd,udalfs_Area,udands_Area,udepts_Area,udolls_Area,udults_Area
542,0,12391,0,0,서울특별시,4568,6,0,0,14407,1130,0,1100000000,1095,0,26278,0,150
5573,358,34747,0,0,인천광역시,5082,111,64,0,2007,466,0,2800000000,5214,0,50287,42,2203
23,93,7582,0,0,세종특별자치시 ,2378,5,0,0,1048,343,0,3611000000,1036,0,33669,0,346
0,51,7051,0,0,대전광역시,3246,17,0,0,8141,383,0,3000000000,1150,0,33762,0,155
3144,0,8024,0,0,대구광역시,6073,950,0,295,6642,1438,0,2700000000,8304,0,113614,0,1045
5403,28,6737,0,0,광주광역시,1713,3,0,0,4837,52,0,2900000000,2534,0,18256,0,7768
697,180,10278,0,0,울산광역시,4649,73,0,135,2746,478,0,3100000000,5121,0,70942,0,10629
420,36,10115,0,0,부산광역시,7561,10,0,0,3968,2474,0,2600000000,3060,0,41055,477,8110
