alfisols_Area,andisols_Area,bjd_Nm,entisols_Area,etc_Area,histosols_Area,inceptisols_Area,mollisols_Area,stdg_Cd,ultisols_Area
1636,0,서울특별시,15542,4568,0,38669,0,1100000000,150
10787,0,인천광역시,2943,5082,64,85034,42,2800000000,2203
1059,0,세종특별자치시 ,1490,2378,0,41251,0,3611000000,346
1150,0,대전광역시,8592,3246,0,40813,0,3000000000,155
11448,0,대구광역시,9032,6073,0,121638,0,2700000000,1341
7937,0,광주광역시,4918,1713,0,24992,0,2900000000,7768
5818,0,울산광역시,3476,4649,0,81220,0,3100000000,10764
3480,0,부산광역시,6488,7561,0,51170,477,2600000000,8110
