bjd_Nm,etc_Area,field_Area,forest_Area,fruit_Area,grass_Area,paddy_Area,stdg_Cd
서울특별시,4568,20764,6808,6042,8301,14085,1100000000
인천광역시,5082,24386,6611,10731,17582,41765,2800000000
세종특별자치시 ,2378,8504,1640,10244,13127,10631,3611000000
대전광역시,3246,9003,13552,5218,11912,11027,3000000000
대구광역시,6073,17149,49686,7950,43634,25041,2700000000
광주광역시,1713,12695,5868,3911,7358,15786,2900000000
울산광역시,4649,10404,32700,11026,28694,18453,3100000000
부산광역시,7561,8159,12758,7154,23458,18196,2600000000
