bjd_Nm,etc_Area,exist_Erosion_Area,heavy_Erosion_Area,none_Erosion_Area,severe_Erosion_Area,stdg_Cd
서울특별시,4568,25136,489,30376,0,1100000000
인천광역시,5082,37419,1242,62414,0,2800000000
울산광역시,4649,69379,75,31823,0,3100000000
