bjd_Nm,etc_Area,field_Grade1_Area,field_Grade2_Area,field_Grade3_Area,field_Grade4_Area,field_Grade5_Area,stdg_Cd
서울특별시,4568,4309,9145,19093,7949,15504,1100000000
인천광역시,5082,124,10146,34767,13055,42982,2800000000
세종특별자치시 ,2378,287,5049,8825,11798,18188,3611000000
대전광역시,3246,556,4908,10418,8952,25877,3000000000
대구광역시,6073,2926,13278,18029,18526,90699,2700000000
광주광역시,1713,1026,5704,16278,10401,12206,2900000000
울산광역시,4649,106,6081,16058,18949,60084,3100000000
부산광역시,7561,363,4462,11798,16289,36815,2600000000
