allcolluvm_Layer_Area,alluvm_Layer_Area,bjd_Nm,colluvm_Layer_Area,diluvm_Layer_Area,etc_Area,residum_Layer_Area,stdg_Cd
12170,16284,서울특별시,1372,547,4568,25625,1100000000
15250,37520,인천광역시,7388,2219,5082,38697,2800000000
10388,6394,세종특별자치시 ,1231,57,2378,26078,3611000000
7977,8273,대전광역시,3256,206,3246,30999,3000000000
16528,14873,대구광역시,14264,5875,6073,91919,2700000000
6667,11034,광주광역시,3100,2254,1713,22562,2900000000
12574,9692,울산광역시,8587,3504,4649,66922,3100000000
6812,14652,부산광역시,11394,234,7561,36632,2600000000
