bjd_Nm,stdg_Cd,vldsia_Rfld1_Area,vldsia_Rfld2_Area,vldsia_Rfld3_Area,vldsia_Rfld4_Area,vldsia_Rfld5_Area,vldsia_Rfld6_Area
충청북도 옥천군 안남면 연주리,4373032021,2,5,4,2,1,2
충청북도 옥천군 안남면 지수리,4373032023,2,5,4,3,1,4
충청북도 옥천군 옥천읍 오대리,4373025041,0,0,1,0,0,0
충청북도 옥천군 청산면 법화리,4373035036,1,1,0,0,0,0
충청북도 옥천군 청산면 대성리,4373035037,3,17,7,1,0,1
충청북도 옥천군 이원면,4373036000,21,76,12,7,2,4
전라남도 진도군 군내면 나리,4690031021,1,5,6,4,2,3
전라남도 진도군 군내면 녹진리,4690031022,1,34,74,69,55,186
전라남도 진도군 군내면 둔전리,4690031024,11,42,75,83,189,102
전라남도 진도군 군내면 용장리,4690031026,1,2,2,1,1,1
전라남도 진도군 군내면 송산리,4690031027,1,2,2,2,1,9
전라남도 진도군 진도읍 포산리,4690025026,11,82,89,103,36,107
전라남도 진도군 임회면 사령리,4690034025,0,3,2,1,0,0
전라남도 진도군 임회면 석교리,4690034026,2,19,21,19,6,41
전라남도 진도군 임회면 상만리,4690034028,1,13,17,12,14,17
전라남도 진도군 임회면 죽림리,4690034029,1,8,12,11,4,4
전라남도 진도군 임회면 굴포리,4690034031,1,6,9,6,7,9
전라남도 진도군 임회면 남동리,4690034032,0,2,1,0,1,0
충청남도 공주시 반포면 하신리,4415034031,5,22,9,3,1,5
충청남도 공주시 계룡면 금대리,4415033032,22,69,180,20,10,43
충청남도 공주시 계룡면 상성리,4415033033,14,24,83,7,5,4
경기도 양평군 양평읍,4183025000,30,57,45,32,26,109
경기도 양평군 양평읍 오빈리,4183025022,1,7,7,6,4,12
경기도 양평군 양평읍 신애리,4183025023,5,7,9,9,4,14
경기도 양평군 양평읍 공흥리,4183025025,1,8,4,2,2,5
경기도 양평군 양평읍 백안리,4183025026,1,5,3,1,1,10
경기도 연천군 왕징면 노동리,4180035022,0,17,8,1,0,0
경기도 연천군 왕징면 강내리,4180035024,0,2,13,1,0,0
