bjd_Nm,etc_Area,field_Area,forest_Area,fruit_Area,grass_Area,paddy_Area,stdg_Cd
서울특별시 중구 무교동,0,3,0,0,0,0,1114010100
서울특별시 중구 다동,0,6,0,0,0,0,1114010200
서울특별시 중구 태평로1가,0,7,0,0,0,0,1114010300
충청남도 금산군 군북면 천을리,5,43,70,39,126,56,4471034024
충청남도 금산군 부리면,370,720,1677,971,2065,862,4471033000
충청남도 금산군 부리면 창평리,21,46,0,10,86,107,4471033021
충청남도 금산군 부리면 선원리,3,115,0,240,107,147,4471033022
충청남도 금산군 부리면 불이리,3,70,2,99,205,51,4471033024
충청남도 금산군 부리면 평촌리,24,44,0,77,66,77,4471033026
충청남도 금산군 부리면 신촌리,48,51,0,94,3,63,4471033027
충청남도 금산군 부리면 예미리,24,42,24,97,100,55,4471033029
충청남도 금산군 부리면 수통리,108,52,272,100,342,81,4471033030
충청남도 금산군 부리면 현내리,7,75,148,122,368,121,4471033032
충청남도 금산군 군북면,60,560,2326,551,1587,714,4471034000
충청남도 부여군 옥산면 학산리,0,32,85,0,69,37,4476037022
충청남도 부여군 옥산면 수암리,4,19,52,19,23,63,4476037024
충청남도 부여군 옥산면 봉산리,46,26,9,17,83,53,4476037025
충청남도 부여군 옥산면 신안리,16,24,21,11,50,50,4476037027
충청남도 부여군 옥산면 대덕리,1,40,44,26,151,58,4476037028
충청남도 태안군 원북면 방갈리,145,201,0,226,93,203,4482535024
충청남도 태안군 근흥면 정죽리,156,283,0,226,328,236,4482533027
충청남도 태안군 근흥면 신진도리,41,24,0,92,41,24,4482533028
충청남도 태안군 소원면,217,1161,82,1506,1581,1644,4482534000
충청남도 태안군 소원면 시목리,0,198,4,102,29,106,4482534021
충청남도 태안군 소원면 신덕리,19,157,46,273,219,250,4482534023
부산광역시 서구 부민동2가,0,4,0,0,0,0,2614011000
부산광역시 서구 부민동3가,0,8,0,3,8,0,2614011100
부산광역시 서구 동대신동3가,0,27,34,21,65,0,2614010300
부산광역시 중구 신창동3가,0,1,0,0,0,0,2611012900
경상남도 합천군 가회면 도탄리,3,28,117,73,308,141,4889044022
경상남도 합천군 가회면 오도리,6,29,148,41,152,108,4889044023
경상남도 합천군 가회면 둔내리,31,20,366,126,629,118,4889044024
경상남도 합천군 가회면 덕촌리,14,66,190,31,140,124,4889044026
전라남도 보성군 노동면 옥마리,16,69,10,29,137,42,4678031025
경상북도 문경시 문경읍 진안리,9,19,151,13,87,35,4728025027
경상북도 문경시 영순면 말응리,47,55,85,35,196,78,4728031030
경상북도 문경시 영순면 율곡리,62,66,23,44,241,187,4728031031
경상북도 문경시 산양면 녹문리,11,35,0,31,3,67,4728032021
경상북도 문경시 호계면 부곡리,0,73,372,31,150,50,4728033024
대전광역시 동구 신상동,26,54,212,13,150,52,3011012900
대전광역시 동구 신하동,111,50,93,47,64,40,3011013000
대전광역시 동구 신촌동,137,25,110,11,65,6,3011013100
경상북도 울진군 울진읍 읍남리,37,79,350,43,251,127,4793025022
경상북도 울진군 울진읍 온양리,0,51,2,72,123,53,4793025024
경상북도 울진군 울진읍 고성리,32,57,117,33,161,87,4793025026
경상북도 울진군 울진읍 정림리,37,85,602,33,212,100,4793025027
경상북도 울진군 울진읍 대흥리,27,61,1648,100,385,25,4793025029
경상북도 안동시 북후면 오산리,1,84,5,24,176,57,4717032024
경상북도 영주시 하망동,4,66,34,11,75,64,4721010300
경상북도 영주시 휴천동,13,156,55,19,231,256,4721010400
경상북도 영주시 가흥동,70,163,16,78,166,223,4721010500
경상북도 영주시 고현동,45,65,124,19,94,104,4721010700
경상북도 영주시 창진동,35,51,35,8,40,145,4721010800
전라남도 보성군 웅치면,60,513,952,307,1262,926,4678040000
전라남도 보성군 웅치면 강산리,16,116,96,38,180,294,4678040022
전라남도 보성군 웅치면 대산리,9,89,444,57,361,152,4678040023
전라남도 보성군 웅치면 봉산리,0,97,110,83,228,115,4678040025
전라남도 보성군 웅치면 유산리,12,93,49,70,325,160,4678040026
전라남도 화순군,2521,10131,30132,3229,22941,9861,4679000000
서울특별시 강서구,421,1534,35,209,281,1665,1150000000
전라남도 담양군 용면 추성리,8,66,32,11,78,130,4671038023
전라남도 담양군 용면 쌍태리,5,92,366,0,77,41,4671038024
전라남도 담양군 용면 월계리,45,46,554,0,115,13,4671038026
전라남도 담양군 용면 용연리,127,134,1728,4,351,39,4671038027
경상북도 상주시 화동면 판곡리,26,54,230,84,180,113,4725040023
경상북도 상주시 모동면 수봉리,50,112,1073,87,329,78,4725038030
경상북도 상주시 모서면,120,918,2947,865,2259,1348,4725039000
경상북도 상주시 모서면 삼포리,10,47,17,40,61,84,4725039021
경상북도 상주시 모서면 소정리,6,97,113,111,142,125,4725039023
경상북도 상주시 모서면 대포리,9,63,707,87,347,112,4725039024
경상북도 상주시 모서면 가막리,3,95,17,75,65,123,4725039026
경상북도 상주시 모서면 지산리,11,68,29,35,6,126,4725039027
경상북도 상주시 이안면 안용리,21,61,632,48,311,136,4725046023
경상북도 상주시 은척면 황령리,7,93,695,66,487,45,4725044029
경상북도 상주시 공검면,219,674,572,589,744,1145,4725045000
서울특별시 종로구 부암동,0,9,86,18,42,0,1111018400
서울특별시 종로구 신영동,0,6,3,12,9,5,1111018600
서울특별시 중구 예장동,0,6,14,18,31,0,1114014200
서울특별시 용산구 원효로1가,0,13,0,0,0,7,1117011200
서울특별시 용산구 원효로2가,0,13,0,0,0,0,1117011300
서울특별시 용산구 신창동,0,6,0,0,0,0,1117011400
서울특별시 용산구 산천동,0,5,0,0,5,0,1117011500
서울특별시 용산구 효창동,0,15,0,19,0,10,1117011900
서울특별시 용산구 용문동,0,9,0,0,0,10,1117012100
서울특별시 용산구 신계동,0,8,0,6,0,0,1117012300
서울특별시 중구 을지로3가,0,8,0,0,0,0,1114015500
서울특별시 중구 입정동,0,4,0,0,0,0,1114015600
서울특별시 중구 산림동,0,4,0,0,0,0,1114015700
서울특별시 성북구 삼선동5가,0,10,0,0,2,0,1129011500
서울특별시 성북구 동선동1가,0,8,0,0,0,0,1129011600
서울특별시 성북구 동선동3가,0,6,0,0,4,0,1129011800
서울특별시 성북구 동선동4가,0,6,0,0,3,0,1129011900
서울특별시 성북구 동선동5가,0,3,0,0,3,0,1129012000
서울특별시 성북구 안암동1가,0,6,0,0,3,1,1129012100
서울특별시 동대문구 신설동,3,0,0,0,0,32,1123010100
서울특별시 동대문구 용두동,9,15,0,0,3,101,1123010200
서울특별시 동대문구 제기동,7,33,0,0,32,47,1123010300
서울특별시 동대문구 전농동,0,46,0,1,108,51,1123010400
서울특별시 성북구 보문동7가,1,5,0,0,0,1,1129012900
서울특별시 성북구 보문동1가,0,7,0,0,0,0,1129013000
경상남도 합천군 가회면 장대리,8,37,347,138,306,75,4889044028
경상남도 합천군 대병면,904,271,2060,442,1929,706,4889045000
경상남도 합천군 대병면 상천리,151,12,126,21,108,14,4889045021
서울특별시 종로구 경운동,0,6,0,0,0,0,1111013400
충청북도 진천군 이월면 송림리,13,86,161,26,18,116,4375035025
충청북도 진천군 이월면 삼용리,16,211,0,0,0,231,4375035027
충청북도 진천군 이월면 신월리,34,321,0,69,35,201,4375035028
충청북도 진천군 이월면 신계리,21,103,511,19,248,67,4375035030
충청북도 진천군 이월면 내촌리,11,48,0,29,14,172,4375035032
충청북도 옥천군 이원면 윤정리,4,71,78,42,124,148,4373036024
충청북도 옥천군 이원면 의평리,5,45,174,15,92,60,4373036025
충청북도 옥천군 이원면 평계리,2,53,64,28,172,62,4373036027
충청북도 옥천군 이원면 수묵리,1,32,2,28,89,35,4373036028
경기도 의정부시 용현동,6,104,113,72,74,81,4115010500
경기도 의정부시 민락동,9,114,59,70,137,110,4115010600
경기도 의정부시 자일동,4,135,156,51,299,44,4115010800
경기도 의정부시 금오동,15,109,191,61,48,71,4115010900
경기도 의정부시 가능동,9,303,436,56,146,76,4115011000
부산광역시 서구 토성동2가,0,4,0,0,0,0,2614011300
부산광역시 서구 토성동3가,0,4,0,0,0,0,2614011400
부산광역시 서구 아미동1가,0,4,0,0,0,0,2614011500
부산광역시 서구 토성동4가,0,2,0,0,0,1,2614011700
부산광역시 서구 초장동,0,16,8,1,20,0,2614011900
부산광역시 서구 충무동1가,0,0,0,0,0,10,2614012000
경상북도 문경시 산북면 종곡리,0,35,295,24,188,37,4728034034
경상북도 문경시 산북면 내화리,24,94,265,63,325,79,4728034035
경상북도 문경시 산북면 회룡리,19,38,86,18,132,46,4728034037
대구광역시 중구 동문동,0,0,0,0,0,5,2711012000
대구광역시 중구 문화동,0,0,0,0,0,4,2711012100
경상남도 진주시 평안동,0,0,0,0,0,7,4817011000
경상남도 진주시 중안동,0,0,0,0,0,12,4817011100
경상남도 진주시 봉곡동,0,14,0,0,0,19,4817011300
경상남도 진주시 봉래동,0,11,0,3,9,5,4817011500
경상남도 진주시 장대동,2,4,0,0,0,16,4817011700
경상남도 진주시 상대동,24,167,1,27,41,56,4817011900
경상남도 진주시 하대동,31,94,0,33,60,77,4817012000
충청북도 옥천군 군서면,141,502,2006,249,1218,514,4373037000
충청북도 옥천군 이원면 지정리,6,61,86,12,71,43,4373036029
충청북도 진천군 이월면 중산리,11,89,0,41,17,168,4375035022
충청북도 진천군 이월면 노원리,1,193,215,86,78,191,4375035023
전라남도 화순군 춘양면 양곡리,5,83,24,1,409,48,4679032025
전라남도 화순군 춘양면 용곡리,2,67,22,0,148,25,4679032026
전라남도 화순군 춘양면 가동리,8,63,281,0,307,34,4679032028
전라남도 화순군 춘양면 변천리,1,8,0,0,24,16,4679032029
전라남도 화순군 한천면 가암리,3,46,222,4,276,58,4679031025
전라남도 화순군 능주면 석고리,10,14,5,0,20,13,4679035023
전라남도 화순군 능주면 잠정리,2,46,1,0,39,22,4679035024
경상북도 경산시 자인면 남신리,11,25,0,0,0,113,4729033036
경상북도 경산시 용성면 당리리,4,19,8,0,9,0,4729034021
경상북도 경산시 용성면 덕천리,7,30,63,7,54,51,4729034022
경상남도 진주시 수곡면 창촌리,59,51,32,14,226,111,4817046024
경상남도 진주시 수곡면 효자리,9,45,307,26,201,129,4817046025
경상남도 진주시 수곡면 원외리,59,36,40,3,20,107,4817046027
경상남도 진주시 수곡면 원계리,36,12,7,30,173,118,4817046028
서울특별시 영등포구 당산동4가,0,25,0,0,0,5,1156011400
서울특별시 영등포구 당산동5가,0,29,0,0,0,0,1156011500
전라남도 화순군 이양면 옥리,0,44,195,10,99,41,4679034026
전라남도 화순군 이양면 품평리,16,100,359,36,89,136,4679034027
전라남도 화순군 이양면 이양리,13,56,151,22,80,46,4679034029
전라남도 화순군 이양면 율계리,11,47,189,24,137,68,4679034030
전라남도 화순군 이양면 초방리,2,59,265,20,120,95,4679034032
전라남도 화순군 이양면 매정리,9,26,82,13,48,53,4679034033
전라남도 화순군 이양면 구례리,1,65,162,32,248,76,4679034035
전라남도 화순군 이양면 쌍봉리,6,72,264,7,73,72,4679034036
전라남도 화순군 능주면,93,401,72,102,313,610,4679035000
전라남도 화순군 능주면 남정리,18,38,18,3,48,155,4679035021
전라남도 화순군 이양면 강성리,23,67,331,23,269,82,4679034022
전라남도 화순군 도암면 봉하리,2,18,534,4,63,25,4679037033
경상북도 경산시 용성면 곡신리,10,19,14,8,35,90,4729034025
경상북도 경산시 자인면 읍천리,7,12,50,5,104,37,4729033025
경상북도 경산시 자인면 신도리,1,3,0,0,9,20,4729033026
경상북도 경산시 자인면 신관리,6,15,89,7,121,33,4729033027
경상북도 경산시 자인면 옥천리,18,45,34,1,65,61,4729033029
경상북도 경산시 자인면 원당리,7,31,2,2,17,68,4729033030
경상북도 경산시 자인면 남촌리,8,19,0,1,11,75,4729033032
경상북도 경산시 자인면 단북리,4,10,27,4,76,24,4729033033
경상북도 경산시 와촌면 용천리,54,106,0,0,0,64,4729031024
경상남도 통영시 도산면 도선리,15,21,168,53,104,88,4822033022
경상남도 통영시 도산면 관덕리,9,53,423,52,83,87,4822033024
경상남도 통영시 도산면 오륜리,4,34,187,90,143,71,4822033025
경상남도 사천시,1906,3984,9666,4436,10833,9080,4824000000
경상남도 통영시 사량면 읍덕리,8,28,440,57,161,41,4822037023
경상남도 통영시 욕지면 동항리,104,61,257,131,356,7,4822035021
경상남도 통영시 욕지면 서산리,19,23,163,70,285,7,4822035022
서울특별시 강남구 율현동,12,62,0,26,7,20,1168011300
서울특별시 강남구 자곡동,9,56,37,15,60,92,1168011200
서울특별시 서초구 반포동,73,260,0,13,64,69,1165010700
서울특별시 마포구 연남동,0,64,0,0,0,0,1144012400
서울특별시 마포구 성산동,19,151,0,24,33,29,1144012500
서울특별시 마포구 중동,1,24,0,8,0,0,1144012600
서울특별시 양천구,53,555,10,257,168,696,1147000000
서울특별시 양천구 목동,20,149,10,73,37,244,1147010200
서울특별시 서대문구 북아현동,0,53,2,29,16,7,1141011000
서울특별시 강북구,8,389,915,83,499,470,1130500000
서울특별시 강북구 미아동,0,89,0,0,228,121,1130510100
서울특별시 강북구 번동,4,62,0,0,109,92,1130510200
서울특별시 성북구 돈암동,0,5,0,0,98,10,1129010300
서울특별시 성북구 동소문동1가,0,0,0,0,3,4,1129010400
서울특별시 성북구 동소문동2가,0,0,0,0,0,4,1129010500
부산광역시 서구 충무동3가,0,1,0,0,0,2,2614012200
부산광역시 금정구 회동동,33,44,135,19,143,29,2641011200
서울특별시 강동구 성내동,0,96,0,0,0,100,1174010800
서울특별시 강동구 천호동,56,225,0,0,0,25,1174010900
대전광역시 동구 정동,0,1,0,0,0,31,3011011900
대전광역시 동구 중동,3,5,0,0,0,12,3011012000
대전광역시 동구 추동,43,60,104,67,206,71,3011012100
대전광역시 중구 사정동,17,44,71,22,225,59,3014011800
대전광역시 동구 비룡동,0,39,36,41,140,60,3011012200
대전광역시 동구,1245,1734,5185,761,3242,1551,3011000000
대전광역시 동구 원동,2,4,0,0,0,13,3011010100
충청북도 보은군 보은읍 길상리,0,43,2,22,73,61,4372025032
충청북도 보은군 보은읍 누청리,2,51,47,68,40,64,4372025034
서울특별시 중구 필동3가,0,4,0,5,0,0,1114013900
경상북도 김천시 감호동,0,0,0,0,0,6,4715010100
경상북도 김천시 모암동,5,13,0,5,8,42,4715010300
경상북도 김천시 성내동,1,18,0,14,6,2,4715010400
경상북도 김천시 남산동,0,32,25,9,18,0,4715010600
경상북도 경주시 건천읍,238,896,3817,967,1528,1698,4713025600
경상북도 경주시 감포읍 감포리,8,47,15,77,85,56,4713025029
경상북도 경주시 안강읍,426,1499,6125,946,2214,2629,4713025300
경상북도 경주시 안강읍 검단리,9,84,452,173,350,149,4713025321
경상북도 경주시 안강읍 갑산리,33,80,30,28,72,150,4713025323
경상북도 경주시 안강읍 대동리,5,22,100,18,176,55,4713025324
경상북도 경주시 안강읍 육통리,18,189,182,77,154,275,4713025326
경상북도 영덕군 창수면 오촌리,18,86,696,29,362,63,4777038041
경상북도 영덕군 창수면 삼계리,16,55,1029,24,325,81,4777038042
경상북도 영덕군 창수면 수리,13,53,795,18,425,31,4777038043
경상북도 영덕군 창수면 보림리,5,36,532,3,199,37,4777038045
대전광역시 중구 목동,0,19,0,32,6,13,3014010300
경상북도 구미시 선산읍 봉남리,38,65,68,27,49,122,4719025038
경상북도 구미시 고아읍,545,1180,702,656,1280,1969,4719025300
경상북도 영주시,1664,7959,23202,5099,19228,10178,4721000000
경상북도 영주시 상망동,5,175,57,50,316,104,4721010200
경상북도 구미시 선산읍 신기리,79,54,82,42,69,86,4719025034
경상북도 영주시 부석면 임곡리,5,134,540,62,283,126,4721039023
경상북도 영천시 화남면,259,956,3549,451,1712,1000,4723035000
경상북도 영천시 화남면 금호리,26,116,53,32,161,72,4723035021
경상북도 영천시 대창면 병암리,9,30,20,65,91,71,4723040034
경상북도 영천시 북안면 유하리,2,17,0,0,39,67,4723039043
경상북도 영천시 북안면 유상리,32,56,214,27,155,70,4723039044
경상북도 영천시 대창면 직천리,18,38,78,50,113,33,4723040021
경상북도 영천시 대창면 용전리,5,20,8,19,86,37,4723040023
경상북도 영천시 대창면 어방리,10,29,99,14,91,54,4723040024
경상북도 영천시 대창면 용호리,7,26,240,7,143,39,4723040026
경상북도 영천시 화북면 횡계리,21,28,362,11,35,44,4723034030
경상북도 상주시 낙동면 상촌리,14,95,79,115,202,184,4725033021
경상북도 상주시 낙동면 장곡리,40,38,10,83,74,115,4725033023
대전광역시 중구 중촌동,22,21,0,4,0,73,3014010400
대전광역시 중구 대흥동,2,7,0,5,7,99,3014010500
대전광역시 중구 문창동,3,0,0,0,0,42,3014010600
경상북도 영주시 부석면 노곡리,1,118,139,67,187,125,4721039025
경상북도 영주시 부석면 용암리,1,134,88,140,359,165,4721039026
경상북도 영주시 부석면 상석리,13,72,63,31,102,107,4721039028
경상북도 구미시 고아읍 이례리,0,48,32,27,20,69,4719025322
경상북도 구미시 선산읍 이문리,10,31,0,11,6,201,4719025024
경상북도 구미시 선산읍 죽장리,13,72,101,44,109,164,4719025025
경상북도 구미시 선산읍 내고리,21,46,56,22,110,98,4719025026
경상북도 구미시 선산읍 습례리,23,43,37,26,39,143,4719025028
경상북도 구미시 선산읍 교리,4,85,176,66,128,100,4719025029
경상북도 구미시 선산읍 원리,198,55,0,18,78,271,4719025031
경상북도 구미시 선산읍 독동리,187,48,8,48,112,117,4719025032
경상북도 영주시 단산면 병산리,18,118,133,95,193,192,4721038024
경상북도 상주시 낙동면 물량리,95,88,64,93,119,190,4725033025
경상북도 상주시 낙동면 분황리,94,63,16,69,62,171,4725033026
경상북도 영천시 화북면,214,577,5439,413,1473,597,4723034000
경상북도 영천시 화북면 자천리,30,136,414,58,278,162,4723034021
경상북도 영천시 화북면 옥계리,3,30,317,21,74,28,4723034022
경상북도 영천시 화북면 용소리,58,22,212,20,76,13,4723034024
경상북도 영천시 화북면 하송리,3,31,371,1,49,29,4723034026
경상북도 영천시 화북면 상송리,4,21,317,14,85,15,4723034027
경상북도 영천시 화북면 정각리,13,44,1080,65,343,62,4723034029
경상북도 상주시 중동면 우물리,73,52,138,90,182,127,4725031027
서울특별시 마포구 아현동,0,18,0,29,0,31,1144010100
서울특별시 마포구 공덕동,0,31,0,10,0,36,1144010200
서울특별시 마포구 도화동,0,21,0,0,8,29,1144010400
서울특별시 마포구 용강동,6,3,0,0,0,22,1144010500
서울특별시 마포구 토정동,7,0,0,0,0,4,1144010600
서울특별시 구로구 고척동,13,96,0,48,11,49,1153010600
서울특별시 영등포구 대림동,7,41,0,12,0,140,1156013300
서울특별시 영등포구 양평동,28,29,0,0,0,0,1156013400
전라남도 화순군 도곡면 덕곡리,21,30,158,0,21,64,4679036026
충청북도 단양군 단양읍 수촌리,1,41,623,0,25,10,4380025033
충청북도 단양군 단양읍 천동리,9,178,965,17,356,19,4380025034
충청북도 단양군 단양읍 금곡리,4,113,150,0,58,19,4380025035
전라남도 여수시 동산동,0,8,8,6,6,0,4613010600
전라남도 여수시 교동,1,15,0,0,0,0,4613010800
전라남도 여수시 군자동,0,7,0,3,2,0,4613010900
전라남도 여수시 충무동,1,10,0,1,0,3,4613011000
전라남도 여수시 광무동,1,23,67,21,3,12,4613011200
전라남도 여수시 서교동,1,16,0,0,0,0,4613011300
전라남도 여수시 화양면 화동리,12,134,118,93,262,122,4613033026
전라남도 여수시 화양면 서촌리,9,92,89,126,227,81,4613033027
전라남도 나주시 반남면 청송리,9,225,0,0,59,163,4617033027
전라남도 나주시 반남면 성계리,4,20,0,8,0,91,4617033028
전라남도 나주시 공산면,211,1221,53,39,486,1238,4617034000
전라남도 나주시 공산면 남창리,10,185,4,0,37,122,4617034022
충청북도 단양군 매포읍 매포리,7,42,110,0,56,20,4380025321
충청북도 단양군 매포읍 우덕리,4,101,99,0,268,33,4380025322
충청북도 단양군 매포읍 하괴리,75,52,110,0,125,13,4380025324
충청북도 단양군 매포읍 상괴리,0,24,107,0,156,0,4380025325
충청북도 단양군 매포읍 평동리,12,123,169,0,227,56,4380025327
충청북도 단양군 매포읍 도곡리,1,47,147,0,149,21,4380025328
경상북도 예천군 감천면,142,1278,851,1754,1297,1233,4790034000
대구광역시 중구 종로1가,0,3,0,0,0,0,2711011300
대구광역시 중구 종로2가,0,1,0,0,0,2,2711011400
대구광역시 중구 동일동,0,1,0,0,0,0,2711011600
대구광역시 중구 남일동,0,4,0,0,0,0,2711011700
대구광역시 중구 동성로3가,0,2,0,0,0,2,2711011900
부산광역시 연제구,12,370,110,140,375,208,2647000000
부산광역시 연제구 거제동,6,159,7,33,121,104,2647010100
부산광역시 연제구 연산동,6,211,103,106,254,104,2647010200
부산광역시 기장군 장안읍 임랑리,8,17,2,61,58,40,2671025332
부산광역시 기장군 장안읍 길천리,8,77,1,47,42,68,2671025334
충청북도 옥천군 안내면 도율리,3,61,437,18,83,58,4373033030
충청북도 옥천군 안내면 월외리,0,59,214,38,67,21,4373033031
충청북도 옥천군 안내면 답양리,34,54,702,3,284,33,4373033033
충청북도 옥천군 청성면,298,1175,3271,330,2441,818,4373034000
충청북도 옥천군 청성면 거포리,14,85,200,24,154,49,4373034022
충청북도 옥천군 청성면 장수리,55,79,180,33,242,49,4373034023
충청북도 옥천군 청성면 소서리,1,62,20,12,107,30,4373034025
충청북도 보은군 탄부면 구암리,37,10,0,0,0,125,4372034022
충청북도 보은군 탄부면 성지리,13,29,35,5,74,37,4372034023
충청북도 보은군 탄부면 매화리,0,40,1,48,65,67,4372034025
서울특별시 구로구 온수동,0,32,0,16,28,7,1153011000
서울특별시 금천구 독산동,18,132,4,113,25,130,1154510200
서울특별시 강북구 우이동,2,99,677,44,30,38,1130510400
서울특별시 도봉구,41,520,692,245,27,543,1132000000
서울특별시 도봉구 쌍문동,2,115,0,66,0,96,1132010500
서울특별시 도봉구 방학동,7,120,90,70,0,119,1132010600
서울특별시 서대문구 연희동,7,93,7,97,59,38,1141011700
서울특별시 서대문구 홍은동,8,62,91,66,101,39,1141011800
서울특별시 마포구,489,1274,0,131,90,403,1144000000
대전광역시 중구 석교동,4,25,22,5,33,39,3014010700
대전광역시 중구 호동,3,33,96,4,62,19,3014010800
대전광역시 중구 옥계동,5,13,14,7,16,30,3014010900
대전광역시 중구 대사동,0,28,21,12,114,28,3014011000
대전광역시 중구 오류동,0,14,0,0,1,50,3014011300
대전광역시 중구 태평동,38,51,0,0,0,78,3014011400
전라남도 화순군 도곡면 신덕리,29,64,0,4,132,52,4679036029
대전광역시 서구 변동,12,29,6,9,27,65,3017010200
대전광역시 서구 도마동,12,92,51,36,60,90,3017010300
경상북도 상주시 중동면 죽암리,151,83,13,77,38,226,4725031023
경상북도 상주시 중동면 신암리,40,31,4,83,99,102,4725031025
경상북도 상주시 청리면 원장리,19,37,4,15,27,217,4725034021
경상북도 상주시 청리면 청하리,13,50,59,41,140,84,4725034023
경상북도 상주시 청리면 마공리,6,67,241,51,153,98,4725034025
경상북도 상주시 청리면 가천리,16,40,62,30,48,108,4725034026
경상북도 상주시 공성면 인창리,2,30,42,27,106,67,4725035032
경상북도 상주시 청리면 덕산리,6,53,3,14,24,88,4725034029
경상북도 상주시 청리면 율리,9,36,0,14,1,101,4725034030
경상북도 상주시 청리면 학하리,17,28,1,26,13,96,4725034032
경상북도 상주시 공성면,98,914,2594,929,2447,1938,4725035000
서울특별시 동작구 본동,17,22,0,4,24,9,1159010400
서울특별시 동작구 흑석동,13,41,1,19,54,40,1159010500
서울특별시 동작구 동작동,8,6,22,25,80,72,1159010600
서울특별시 동작구 대방동,1,40,0,45,0,67,1159010800
서울특별시 동작구 신대방동,7,16,0,78,0,66,1159010900
서울특별시 관악구,39,368,1177,352,530,491,1162000000
서울특별시 관악구 신림동,31,154,828,139,356,307,1162010200
서울특별시 관악구 남현동,0,37,223,27,26,14,1162010300
서울특별시 영등포구 당산동1가,0,0,0,0,0,22,1156011100
전라남도 담양군 월산면 용흥리,21,90,757,6,289,75,4671039024
전라남도 담양군 월산면 신계리,6,32,190,0,96,69,4671039026
전라남도 담양군 월산면 광암리,3,141,275,7,122,91,4671039027
전라남도 보성군 벌교읍 척령리,3,56,53,17,54,88,4678025330
전라남도 보성군 벌교읍 장좌리,7,87,16,81,91,153,4678025332
전라남도 보성군 벌교읍 영등리,10,98,10,202,158,221,4678025333
전라남도 보성군 벌교읍 대포리,2,16,0,44,48,52,4678025335
전라남도 고흥군 도덕면 도덕리,59,105,2,108,29,326,4677032021
전라남도 고흥군 도덕면 신양리,14,131,0,90,66,418,4677032022
전라남도 고흥군 도덕면 가야리,177,251,0,198,76,487,4677032023
전라남도 고흥군 도덕면 오마리,108,71,0,72,32,382,4677032025
전라남도 고흥군 도덕면 용동리,545,124,0,133,135,252,4677032026
전라남도 보성군 벌교읍 고읍리,13,64,26,40,110,222,4678025324
전라남도 보성군,2565,9294,15564,6116,18464,14429,4678000000
전라남도 보성군 보성읍,85,956,233,712,1636,1271,4678025000
경상북도 상주시 이안면 가장리,11,17,5,13,37,74,4725046031
경상북도 상주시 이안면 이안리,30,25,3,22,26,73,4725046033
경상북도 상주시 화남면,55,311,3008,243,1458,387,4725047000
경상북도 상주시 화남면 동관리,22,65,1442,80,593,40,4725047021
경상북도 상주시 화남면 임곡리,0,21,25,30,85,10,4725047023
경상북도 상주시 화남면 중눌리,4,90,642,59,277,78,4725047024
경상북도 문경시 문경읍 하초리,4,43,187,38,127,30,4728025029
경상북도 문경시 문경읍 상초리,71,38,1868,29,365,17,4728025030
경상북도 문경시 문경읍 팔영리,3,75,428,56,206,45,4728025032
경상북도 문경시 가은읍 원북리,64,48,2044,103,623,36,4728025332
전라남도 보성군 득량면 송곡리,8,66,41,61,106,199,4678038022
전라남도 보성군 득량면 오봉리,13,141,96,48,70,289,4678038024
전라남도 보성군 득량면 해평리,93,196,519,8,340,340,4678038025
전라남도 보성군 벌교읍 연산리,4,52,48,8,89,79,4678025336
전라남도 보성군 벌교읍 봉림리,6,17,0,1,36,36,4678025337
전라남도 보성군 벌교읍 회정리,11,66,23,18,54,77,4678025338
전라남도 보성군 벌교읍 호동리,14,71,0,34,84,118,4678025340
전라남도 보성군 벌교읍 장도리,24,76,0,147,38,36,4678025341
전라남도 보성군 조성면 대곡리,32,116,272,29,127,131,4678037027
전라남도 보성군 문덕면 용암리,18,87,533,50,279,94,4678036022
전라남도 보성군 문덕면 덕치리,152,29,59,22,134,11,4678036023
전라남도 보성군 문덕면 죽산리,73,27,667,8,46,33,4678036024
경상북도 문경시 가은읍 상괴리,17,40,378,24,50,69,4728025333
경상북도 문경시 가은읍 하괴리,17,86,687,7,252,98,4728025334
경상북도 문경시 영순면,275,788,429,392,681,1322,4728031000
경상북도 문경시 영순면 의곡리,7,127,10,93,73,201,4728031021
경상북도 문경시 영순면 포내리,11,24,0,16,0,20,4728031023
경상북도 문경시 영순면 사근리,2,125,0,42,103,175,4728031024
경상북도 문경시 영순면 오룡리,13,45,0,13,0,92,4728031026
경상북도 문경시 영순면 금림리,4,54,12,43,41,73,4728031027
경상북도 문경시 산북면 이곡리,6,33,244,11,136,70,4728034024
경상북도 문경시 농암면 농암리,3,32,43,11,29,28,4728037021
경상북도 문경시 농암면 종곡리,9,58,129,8,119,53,4728037022
충청북도 단양군 매포읍 하시리,3,52,157,0,189,29,4380025329
충청북도 단양군 매포읍 상시리,6,58,167,0,238,39,4380025330
충청북도 단양군 영춘면 별방리,6,131,312,0,116,23,4380033031
충청북도 단양군 가곡면 여천리,0,128,237,0,554,12,4380032023
충청북도 단양군 가곡면 덕천리,52,75,51,0,168,33,4380032024
전라남도 담양군 창평면 의항리,12,37,0,11,15,59,4671034026
전라남도 담양군 창평면 일산리,7,28,0,10,2,23,4671034027
전라남도 담양군 창평면 유곡리,9,71,0,67,63,90,4671034029
광주광역시 광산구 오선동,2,106,0,7,0,125,2920020200
