bjd_Nm,crush_Stone_Area,etc_Area,except_Area,low_Moist_Area,none_Area,rock_Area,salt_Area,sand_Area,slope_Area,spaicd_Area,stdg_Cd,stone_Power_Area,unripe_Area,volcano_Area
경상남도 사천시 곤명면 용산리,0,8,390,0,0,0,0,0,28,0,4824036022,0,5,0
경상남도 사천시 곤명면 조장리,0,11,181,0,21,0,0,45,23,0,4824036023,2,6,0
경상남도 사천시 곤명면 봉계리,0,14,289,0,21,0,0,37,61,0,4824036024,0,12,0
경상남도 사천시 곤명면 삼정리,0,2,243,0,0,0,0,0,116,0,4824036026,0,10,0
경상남도 사천시 곤명면 마곡리,0,6,512,3,0,0,0,5,98,0,4824036028,0,6,0
경상남도 사천시 곤명면 성방리,0,10,619,0,15,0,0,36,90,0,4824036029,0,2,0
경상남도 김해시 안동,0,9,95,12,60,0,0,0,19,9,4825012000,14,12,0
경상남도 김해시 서상동,0,0,2,0,0,0,0,0,0,0,4825010200,26,0,0
경상남도 김해시 부원동,0,10,11,0,39,0,0,0,16,116,4825010300,5,2,0
경상남도 김해시 대성동,0,2,20,0,0,0,0,0,23,0,4825010500,0,11,0
충청남도 예산군 예산읍 관작리,0,8,251,2,13,0,0,10,83,0,4481025028,29,29,0
충청남도 예산군 예산읍 창소리,0,7,1,4,12,0,0,67,14,0,4481025029,45,92,0
충청남도 예산군 예산읍 신례원리,0,0,166,0,0,0,0,31,33,0,4481025030,77,51,0
충청남도 예산군 예산읍 궁평리,0,7,0,5,38,0,0,116,4,0,4481025032,2,23,0
경상북도 의성군 안평면 창길리,0,12,773,0,19,0,0,14,88,0,4773046034,6,30,0
경상북도 의성군 안평면 괴산리,0,8,494,0,0,0,0,29,53,0,4773046035,2,19,0
경상북도 영천시 금호읍 원기리,0,4,11,0,14,0,0,10,42,0,4723025037,0,10,0
경상북도 영천시 금호읍 신대리,0,37,28,0,44,0,0,110,8,0,4723025038,0,18,0
경상북도 영천시 금호읍 남성리,0,15,225,0,0,0,0,17,100,0,4723025039,0,0,0
경상북도 영천시 금호읍 황정리,0,45,39,0,30,0,0,75,42,0,4723025041,0,9,0
경상북도 영천시 청통면 호당리,0,22,184,0,21,0,0,25,67,0,4723031021,0,51,0
경상북도 영천시 청통면 우천리,0,13,300,0,0,0,0,5,153,0,4723031022,0,4,0
경상북도 영천시 청통면 신덕리,0,8,363,0,0,0,0,0,117,0,4723031024,0,7,0
경상북도 영천시 금호읍 관정리,0,20,1,0,63,0,0,18,2,0,4723025030,4,32,0
경상북도 영천시 금호읍 구암리,0,38,278,0,55,0,0,0,107,0,4723025031,1,6,0
경상북도 영천시 금호읍 대곡리,0,8,190,0,0,0,0,0,69,0,4723025033,0,18,0
경상북도 영천시 금호읍 호남리,0,42,130,0,0,0,0,0,112,0,4723025034,0,11,0
경상북도 영천시 화산면 유성리,0,17,146,0,5,0,0,17,154,0,4723033033,6,45,0
경상남도 김해시 상동면,0,379,5652,4,29,0,0,84,301,0,4825036000,131,293,0
경상남도 김해시 한림면 용덕리,0,6,218,0,5,0,0,0,74,0,4825034025,11,20,0
경상남도 김해시 한림면 안곡리,0,5,429,0,0,0,0,0,45,0,4825034026,24,13,0
경상남도 김해시 한림면 장방리,0,81,228,0,201,0,0,0,65,0,4825034028,0,140,0
경상남도 김해시 한림면 시산리,0,267,63,0,282,0,0,70,2,0,4825034029,0,66,0
경상남도 김해시 주촌면,0,85,2009,45,160,0,0,34,450,65,4825032000,93,186,0
경상남도 김해시 주촌면 원지리,0,11,426,0,2,0,0,1,82,0,4825032022,33,46,0
경상남도 김해시 주촌면 덕암리,0,7,396,0,0,0,0,0,59,0,4825032023,15,22,0
충청남도 논산시 광석면 율리,0,0,21,0,31,0,0,81,56,0,4423032032,0,60,0
충청남도 논산시 광석면 오강리,0,0,0,18,31,0,0,56,17,0,4423032033,0,51,0
충청남도 논산시 노성면 읍내리,0,1,43,6,0,0,0,238,36,0,4423033021,0,0,0
충청남도 논산시 노성면 두사리,0,0,6,3,0,0,0,85,24,0,4423033022,0,2,0
충청남도 논산시 노성면 송당리,0,5,99,7,0,0,0,158,38,0,4423033023,0,17,0
충청남도 논산시 노성면 하도리,0,12,79,0,18,0,0,183,24,0,4423033025,0,1,0
경상북도 영주시 부석면 보계리,0,0,473,101,0,0,0,16,187,0,4721039030,0,0,0
경상북도 영천시 금호읍 오계리,0,11,72,0,8,0,0,11,84,0,4723025036,0,39,0
경상남도 합천군 대양면,0,177,4479,9,65,0,0,63,729,0,4889041000,1,177,0
경상남도 합천군 대양면 정양리,0,91,274,0,0,0,0,8,25,0,4889041021,0,2,0
경상남도 합천군 대양면 아천리,0,33,326,0,7,0,0,1,42,0,4889041022,0,3,0
경상남도 합천군 대양면 무곡리,0,13,580,0,7,0,0,4,94,0,4889041024,0,42,0
