bjd_Nm,etc_Area,field_Grade1_Area,field_Grade2_Area,field_Grade3_Area,field_Grade4_Area,field_Grade5_Area,stdg_Cd
전라남도 담양군 대덕면 매산리,2,0,9,102,65,67,4671035021
전라남도 담양군 대덕면 장산리,3,0,21,68,74,108,4671035022
서울특별시 성북구 동소문동5가,0,0,1,3,0,0,1129010800
서울특별시 성북구 동소문동7가,0,0,0,4,0,3,1129011000
서울특별시 마포구 동교동,0,0,40,1,0,0,1144012100
서울특별시 마포구 합정동,66,29,36,42,0,0,1144012200
서울특별시 마포구 망원동,49,85,36,2,0,0,1144012300
경기도 평택시 팽성읍 함정리,0,0,49,64,32,0,4122025033
경기도 평택시 팽성읍 신대리,61,0,21,129,17,10,4122025034
경기도 평택시 팽성읍 노양리,45,0,11,72,37,20,4122025036
경기도 평택시 팽성읍 두정리,0,0,24,97,71,0,4122025038
경기도 평택시 팽성읍 석근리,0,0,9,70,2,0,4122025039
경기도 평택시 팽성읍 안정리,0,0,53,161,11,0,4122025041
서울특별시 마포구 상수동,12,0,24,16,1,3,1144011500
서울특별시 종로구 체부동,0,2,0,0,0,2,1111011200
서울특별시 종로구 필운동,0,0,2,1,0,5,1111011300
서울특별시 종로구 도렴동,0,0,3,0,0,0,1111011600
서울특별시 종로구 당주동,0,0,4,0,0,0,1111011700
서울특별시 종로구 내수동,0,2,5,0,0,0,1111011800
서울특별시 종로구 세종로,0,28,36,9,1,15,1111011900
서울특별시 종로구 신문로2가,0,0,8,13,5,0,1111012100
서울특별시 종로구 수송동,0,0,10,0,0,0,1111012400
서울특별시 종로구 중학동,0,0,3,0,0,0,1111012500
서울특별시 종로구 종로1가,0,0,4,0,0,0,1111012600
서울특별시 종로구 견지동,0,0,5,0,0,0,1111012900
서울특별시 종로구 운니동,0,3,4,0,0,0,1111013200
서울특별시 종로구 익선동,0,0,5,0,0,0,1111013300
경상북도 예천군 지보면 소화리,3,0,46,187,230,220,4790040021
경상북도 예천군 지보면 지보리,120,0,83,92,92,66,4790040023
경상북도 봉화군 봉성면 우곡리,4,0,10,132,186,1718,4792032027
경상북도 봉화군 봉성면 봉양리,6,0,32,174,212,464,4792032028
경상북도 봉화군 법전면 법전리,4,0,22,165,162,598,4792033021
경상북도 봉화군 법전면 풍정리,8,0,29,199,157,409,4792033022
경상북도 봉화군 법전면 소천리,25,1,16,124,162,643,4792033024
경상북도 봉화군 법전면 눌산리,46,3,18,167,185,1037,4792033025
경상북도 봉화군 법전면 소지리,1,0,14,103,71,475,4792033027
대구광역시 중구 동인동1가,0,0,17,0,2,0,2711010100
대구광역시 중구 동인동2가,0,0,20,0,0,0,2711010200
대구광역시 중구 동인동3가,6,0,18,0,9,0,2711010300
대구광역시 중구 삼덕동1가,0,0,0,0,11,0,2711010500
대구광역시 중구 삼덕동2가,0,0,3,0,22,0,2711010600
대구광역시 중구 봉산동,0,0,0,0,17,8,2711010800
대구광역시 중구 장관동,0,0,0,0,2,0,2711010900
대구광역시 중구 수동,0,0,0,0,3,0,2711011100
충청북도 보은군 탄부면 고승리,33,2,15,75,52,56,4372034026
충청북도 옥천군 옥천읍 문정리,1,6,37,36,49,32,4373025022
충청북도 옥천군 옥천읍 상계리,0,3,2,2,4,0,4373025023
충청북도 옥천군 옥천읍 교동리,10,0,22,32,55,198,4373025025
충청북도 옥천군 옥천읍 수북리,16,0,13,49,13,226,4373025027
충청북도 옥천군 옥천읍 매화리,3,0,51,37,68,50,4373025028
충청북도 옥천군 옥천읍 구일리,6,0,42,98,97,54,4373025029
충청북도 옥천군 옥천읍 서대리,6,7,27,38,66,29,4373025030
충청북도 옥천군 옥천읍 삼청리,17,0,117,92,104,203,4373025032
충청북도 옥천군 안내면 동대리,2,0,44,55,40,368,4373033024
충청북도 옥천군 안내면 서대리,15,0,31,52,55,201,4373033025
충청북도 옥천군 안내면 인포리,98,10,24,63,34,485,4373033027
서울특별시 도봉구 도봉동,10,13,72,209,45,607,1132010800
서울특별시 노원구,115,276,495,991,421,1261,1135000000
서울특별시 노원구 공릉동,27,37,135,292,144,190,1135010300
서울특별시 노원구 하계동,6,9,46,110,28,3,1135010400
서울특별시 노원구 상계동,53,128,157,347,103,793,1135010500
서울특별시 구로구 궁동,1,0,35,52,15,78,1153010900
서울특별시 서대문구 신촌동,0,0,16,31,12,28,1141011400
충청북도 보은군 탄부면 대양리,22,27,67,77,36,171,4372034028
충청북도 보은군 탄부면 벽지리,4,5,56,52,43,95,4372034029
경상북도 경주시 천북면 물천리,26,12,69,211,207,391,4713038021
경상북도 안동시 북후면 두산리,2,0,7,129,254,463,4717032028
경상북도 안동시 북후면 신전리,18,0,2,29,144,529,4717032029
경상북도 안동시 북후면 석탑리,53,5,7,53,178,1109,4717032031
경상북도 안동시 북후면 대현리,0,0,4,66,23,124,4717032032
경상북도 경주시 천북면 모아리,43,54,33,96,82,115,4713038028
경상북도 경주시 강동면 안계리,149,15,63,178,177,371,4713037023
경상북도 경주시 강동면 다산리,52,38,116,145,144,367,4713037024
경상북도 경주시 강동면 유금리,29,50,112,109,78,409,4713037026
경상북도 경주시 강동면 오금리,25,21,101,81,43,237,4713037027
경상북도 경주시 강동면 국당리,23,38,101,99,101,217,4713037029
경상북도 봉화군 춘양면,132,26,254,1088,2047,13232,4792034000
부산광역시 기장군 장안읍 효암리,31,0,1,17,54,41,2671025322
부산광역시 기장군 장안읍 고리,23,0,1,0,9,41,2671025323
부산광역시 기장군 장안읍 좌동리,3,0,11,51,119,35,2671025324
부산광역시 기장군 장안읍 덕선리,4,0,0,19,157,294,2671025326
부산광역시 기장군 장안읍 용소리,4,0,6,37,193,435,2671025327
부산광역시 기장군 장안읍 명례리,3,0,2,131,121,56,2671025329
부산광역시 기장군 장안읍 월내리,5,0,23,34,57,30,2671025330
대구광역시 중구 태평로3가,0,0,0,0,13,0,2711013100
대구광역시 중구 인교동,0,0,0,0,8,0,2711013200
대구광역시 중구 서성로1가,0,0,0,0,3,0,2711013400
충청북도 영동군 추풍령면,57,23,361,740,466,3901,4374033500
충청북도 단양군 가곡면 가대리,82,11,34,103,33,610,4380032022
충청북도 단양군 대강면 황정리,12,0,16,72,33,1008,4380031037
서울특별시 종로구 누상동,0,0,1,5,0,20,1111010900
서울특별시 종로구 누하동,0,0,1,1,0,4,1111011000
경상북도 영덕군 영덕읍 화개리,35,25,17,14,80,220,4777025022
경상북도 영덕군 영덕읍 남석리,26,17,15,0,6,0,4777025023
경상북도 영덕군 영덕읍 천전리,12,3,34,10,46,218,4777025025
경상북도 영덕군 영덕읍 남산리,25,22,38,55,35,317,4777025026
경상북도 영덕군 영덕읍 매정리,5,0,5,42,137,302,4777025030
경상북도 영덕군 영덕읍 석리,1,0,0,22,35,165,4777025031
경상북도 영덕군 영덕읍 오보리,9,0,6,18,14,99,4777025033
경상북도 영덕군 영덕읍 대부리,1,0,4,18,27,190,4777025035
경상북도 영덕군 영덕읍 창포리,6,0,0,17,48,273,4777025036
경상북도 영덕군 강구면,108,66,139,448,360,2589,4777031000
경상북도 영덕군 남정면 도천리,23,2,41,37,27,536,4777032043
경상북도 영덕군 남정면 우곡리,2,0,4,45,35,449,4777032044
경상북도 영덕군 남정면 중화리,7,0,22,56,52,730,4777032045
경상북도 영덕군 남정면 남호리,4,0,5,23,7,103,4777032047
경상북도 영덕군 남정면 원척리,2,0,3,12,17,171,4777032049
경상북도 영덕군 남정면 부흥리,6,0,6,42,21,98,4777032050
경상북도 영덕군 달산면,181,21,357,406,601,5725,4777033000
경기도 성남시중원구 상대원동,7,0,128,53,100,473,4113310500
경상북도 의성군 옥산면 오류리,7,0,13,66,76,1105,4773033035
경상북도 의성군 옥산면 금봉리,25,0,8,32,75,1327,4773033036
경상북도 의성군 옥산면 입암리,44,29,47,89,130,805,4773033038
경상북도 의성군 옥산면 신계리,11,0,49,91,121,798,4773033039
경상북도 의성군 사곡면,121,47,287,745,406,5664,4773034000
경상북도 안동시 와룡면 가야리,1,0,57,138,42,337,4717031025
경상북도 안동시 와룡면 태리,3,2,30,108,111,308,4717031027
경상북도 안동시 와룡면 서지리,9,0,8,53,79,82,4717031028
경상북도 안동시 와룡면 이상리,2,0,26,119,167,145,4717031030
경상북도 안동시 풍산읍 서미리,0,0,2,47,68,316,4717025033
경상북도 안동시 풍산읍 오미리,8,0,26,223,137,246,4717025036
경상북도 안동시 수하동,134,11,20,23,56,185,4717014200
경상북도 안동시 풍산읍,491,23,841,2041,2473,3791,4717025000
경상북도 안동시 풍산읍 안교리,57,5,62,157,67,98,4717025021
경상북도 안동시 풍산읍 하리리,51,4,73,111,46,21,4717025023
경상북도 안동시 풍산읍 마애리,30,4,61,53,84,51,4717025024
경상남도 의령군 칠곡면,34,9,131,310,409,1337,4872032000
전라남도 영광군 영광읍 송림리,9,0,2,311,65,5,4687025038
전라남도 영광군 영광읍 무령리,2,0,0,30,27,25,4687025021
전라남도 함평군 월야면 정산리,8,0,68,130,68,0,4686038029
전라남도 함평군 월야면 용암리,7,0,53,177,26,8,4686038030
전라남도 함평군 월야면 월계리,10,0,41,107,41,108,4686038032
전라남도 영광군,2089,64,1482,17576,8789,17155,4687000000
전라남도 영암군 학산면 금계리,11,3,5,246,81,50,4683038026
경상북도 구미시 해평면 괴곡리,1,0,100,83,63,88,4719034025
경상북도 구미시 해평면 도문리,8,0,45,128,139,283,4719034027
경상북도 구미시 해평면 금호리,30,0,54,112,63,29,4719034029
경상북도 구미시 해평면 송곡리,27,7,64,125,108,618,4719034031
경상북도 구미시 해평면 산양리,139,1,61,32,48,42,4719034032
경상북도 구미시 해평면 낙산리,49,5,136,174,152,437,4719034034
경상북도 구미시 해평면 일선리,10,0,6,8,8,9,4719034035
경상북도 구미시 해평면 오상리,2,0,35,76,65,7,4719034023
경상남도 양산시 상북면 소석리,13,0,5,37,140,349,4833033024
경상남도 양산시 물금읍,192,23,245,758,241,521,4833025300
경상남도 양산시 물금읍 물금리,84,13,67,77,49,80,4833025321
경상남도 양산시 물금읍 가촌리,2,0,15,156,72,144,4833025323
경상남도 양산시 물금읍 범어리,13,0,77,289,63,258,4833025324
경상남도 양산시 동면 개곡리,2,0,12,37,81,232,4833031021
경상남도 양산시 동면 여락리,12,0,20,57,214,469,4833031023
경상남도 양산시 동면 내송리,10,0,23,69,137,319,4833031025
경상남도 양산시 동면 석산리,46,0,22,135,75,264,4833031026
경상남도 양산시 동면 가산리,91,1,18,75,58,468,4833031028
경상남도 의령군 부림면 단원리,18,5,24,100,48,166,4872039026
경상북도 영주시 장수면 반구리,6,0,34,66,103,276,4721034021
경상북도 영주시 평은면 지곡리,3,0,10,70,59,211,4721032022
경상북도 영주시 평은면 천본리,43,1,17,139,164,585,4721032024
경상북도 영주시 평은면 용혈리,54,7,23,74,118,425,4721032026
경상북도 영주시 문수면,235,14,122,762,782,2291,4721033000
경상북도 영주시 문수면 승문리,23,2,15,104,129,358,4721033021
경상북도 영주시 문수면 적동리,49,0,23,47,59,254,4721033023
경상북도 영주시 문수면 권선리,1,0,5,73,96,145,4721033024
경상북도 영주시 평은면 강동리,55,5,5,98,171,1042,4721032021
경상북도 청송군 파천면 중평리,26,7,25,53,136,460,4775036033
경상북도 청송군 파천면 신흥리,6,5,19,154,214,1896,4775036035
경상북도 청송군 파천면 지경리,1,0,3,44,122,508,4775036036
경상북도 청송군 부남면 중기리,25,3,47,101,249,2254,4775032037
경상북도 청송군 현동면,169,86,321,466,656,6211,4775033000
경기도 성남시수정구 고등동,2,33,52,86,63,177,4113111200
경기도 성남시수정구 상적동,14,0,10,86,22,539,4113111300
경기도 성남시수정구 둔전동,18,56,43,21,2,8,4113111400
경기도 성남시수정구 금토동,9,35,36,105,56,643,4113111600
경기도 성남시수정구 사송동,7,10,31,22,53,38,4113111700
경기도 성남시중원구 성남동,15,85,12,46,19,22,4113310100
경기도 성남시중원구 은행동,1,0,0,25,53,188,4113310400
경상북도 의성군 사곡면 음지리,12,5,22,43,43,490,4773034032
경상북도 의성군 사곡면 신감리,12,15,53,79,42,648,4773034034
경상북도 의성군 사곡면 공정리,11,1,20,99,91,1484,4773034036
경상북도 의성군 사곡면 화전리,4,0,25,75,64,588,4773034037
경상북도 의성군 사곡면 신리리,8,0,22,57,14,205,4773034038
경상북도 의성군 사곡면 토현리,19,3,35,112,33,454,4773034040
경상북도 의성군 춘산면,97,120,230,506,540,5155,4773035000
경상북도 의성군 의성읍 도동리,6,8,51,69,10,211,4773025024
경상북도 의성군 의성읍 도서리,6,2,32,9,0,0,4773025025
경상북도 의성군 의성읍 치선리,13,12,45,66,17,251,4773025026
경상북도 의성군 옥산면 감계리,20,1,44,94,127,1009,4773033033
경상북도 의성군 금성면 탑리리,14,0,82,98,138,90,4773037036
경상북도 의성군 금성면 학미리,11,7,13,116,57,196,4773037038
경상북도 의성군 금성면 제오리,11,5,24,69,56,214,4773037039
경상북도 의성군 금성면 만천리,9,0,16,105,23,311,4773037041
경상북도 의성군 금성면 초전리,7,20,34,52,15,148,4773037043
경상북도 의성군 금성면 구련리,13,9,32,51,13,99,4773037044
경상북도 의성군 금성면 도경리,9,0,10,150,103,799,4773037046
경상남도 합천군 묘산면 반포리,1,0,10,51,53,858,4889032021
경상남도 합천군 묘산면 안성리,9,0,16,43,42,499,4889032023
경상남도 거창군 가조면 장기리,23,0,68,106,98,175,4888040027
경상남도 거창군 신원면,96,0,58,707,1412,5103,4888039000
경상남도 거창군 신원면 수원리,14,0,7,42,70,478,4888039021
경상남도 거창군 신원면 와룡리,4,0,0,55,198,551,4888039022
경상남도 거창군 신원면 청수리,7,0,0,71,179,448,4888039023
경상남도 거창군 신원면 대현리,11,0,2,115,168,611,4888039024
경상남도 거창군 신원면 구사리,18,0,19,93,204,859,4888039025
경상남도 거창군 신원면 양지리,12,0,21,66,140,608,4888039027
경상남도 거창군 신원면 중유리,7,0,0,120,203,426,4888039029
경상남도 거창군 가조면,167,13,474,1266,1401,3277,4888040000
경상남도 합천군 봉산면 술곡리,261,0,3,20,73,539,4889031032
경상남도 합천군 합천읍 인곡리,2,0,8,86,92,635,4889025029
경상남도 합천군 봉산면,1461,0,15,430,1219,4940,4889031000
경상남도 합천군 봉산면 권빈리,18,0,3,71,135,499,4889031022
경상남도 합천군 봉산면 상현리,81,0,0,14,88,423,4889031023
경상남도 합천군 봉산면 김봉리,84,0,0,4,21,98,4889031025
경상남도 함안군 칠서면 대치리,20,0,96,85,73,87,4873035026
경상남도 함안군 칠서면 용성리,118,24,76,17,41,24,4873035028
경상남도 함안군 칠서면 이룡리,105,43,290,26,60,23,4873035029
경상남도 함안군 칠북면 화천리,11,0,94,91,78,27,4873036021
경상남도 함안군 칠북면 덕남리,53,3,140,137,38,198,4873036022
경상남도 창녕군 고암면 간상리,7,0,16,65,43,261,4874031025
경상남도 창녕군 고암면 우천리,15,0,40,107,44,670,4874031026
경상남도 창녕군 고암면 계상리,20,0,43,118,70,591,4874031027
경상북도 상주시 함창읍 교촌리,2,0,3,61,24,33,4725025025
경상북도 상주시 함창읍 대조리,6,0,22,147,60,24,4725025027
경상북도 상주시 함창읍 윤직리,3,0,40,71,32,2,4725025028
경상북도 상주시 중덕동,23,0,152,66,16,18,4725012700
경상북도 경산시 남산면,124,169,389,601,311,2208,4729035000
경상북도 경산시 남산면 산양리,2,13,10,20,1,6,4729035021
경상북도 상주시 계산동,22,0,42,70,28,14,4725013000
경상북도 상주시 신봉동,3,10,93,90,24,38,4725011200
경상북도 상주시 가장동,19,6,28,83,74,239,4725011300
경상북도 상주시 양촌동,17,38,39,60,77,110,4725011400
경상남도 함안군 가야읍,212,29,731,1196,350,1578,4873025000
경상남도 함안군 가야읍 검암리,50,11,83,103,6,56,4873025022
경상남도 함안군 함안면 파수리,13,0,93,75,79,478,4873031026
경상남도 의령군 유곡면 덕천리,13,2,25,32,16,195,4872042030
경상북도 청송군 파천면 황목리,14,4,0,27,190,559,4775036038
경상북도 청송군 파천면 어천리,71,10,31,78,73,301,4775036039
경상북도 청송군 파천면 송강리,57,6,36,79,82,634,4775036040
경상북도 청송군 파천면 옹점리,20,0,1,81,117,1108,4775036042
경상북도 예천군 감천면 포리,5,0,71,181,232,79,4790034036
경상북도 예천군 감천면 관현리,9,0,23,54,69,121,4790034038
경상북도 의성군 단밀면 서제리,26,1,43,94,69,93,4773041033
경상북도 의성군 단밀면 생송리,93,18,65,246,306,997,4773041035
경상북도 의성군 단밀면 낙정리,46,2,28,186,121,243,4773041036
경상북도 의성군 비안면 용천리,29,26,23,84,21,0,4773039038
경상북도 의성군 비안면 용남리,28,4,37,176,73,34,4773039039
경상북도 의성군 비안면 이두리,15,5,17,135,76,65,4773039040
경상북도 의성군 구천면 모흥리,7,12,45,139,53,235,4773040032
경상북도 의성군 구천면 장국리,19,0,8,63,43,403,4773040034
경상북도 의성군 구천면 소호리,4,0,20,198,118,119,4773040035
경상북도 의성군 단북면 이연리,33,30,128,168,14,0,4773042028
경상북도 의성군 신평면 덕봉리,8,0,6,52,137,577,4773045034
경상북도 의성군 신평면 중율리,18,5,26,86,109,809,4773045035
경상북도 의성군 신평면 교안리,11,0,3,100,208,997,4773045037
경상북도 의성군 다인면 외정리,9,0,5,206,125,75,4773044049
경상북도 의성군 다인면 신락리,4,0,18,236,15,13,4773044050
경상북도 의성군 신평면,70,9,78,419,750,4243,4773045000
경상남도 거제시 일운면 소동리,11,0,2,53,145,459,4831031025
경상남도 거제시 일운면 옥림리,2,0,2,15,59,198,4831031026
경상남도 거제시,1451,1,1138,4488,7436,25819,4831000000
경상남도 거제시 능포동,9,0,4,32,100,126,4831010100
충청북도 괴산군 사리면 사담리,10,3,97,130,69,251,4376039021
충청북도 괴산군 청안면 부흥리,13,0,92,136,23,689,4376037030
충청북도 괴산군 청천면 화양리,83,4,17,64,127,1393,4376036045
충청북도 괴산군 청천면 후영리,42,3,23,103,60,621,4376036046
충청북도 괴산군 청천면 이평리,12,0,85,127,42,551,4376036048
충청북도 괴산군 청천면 사기막리,2,0,12,80,64,563,4376036049
경상북도 영덕군 영덕읍 화수리,8,0,19,92,35,707,4777025028
경상북도 영양군 석보면,144,99,428,757,1403,9434,4776035000
경상북도 상주시 오대동,8,3,20,98,65,201,4725011600
경상남도 의령군 칠곡면 외조리,6,1,19,68,39,178,4872032021
경상남도 의령군 칠곡면 신포리,5,7,54,42,9,29,4872032023
경상남도 의령군 칠곡면 산남리,11,0,6,25,67,128,4872032025
경상남도 의령군 칠곡면 산북리,1,0,3,57,78,180,4872032026
경상남도 의령군 대의면 신전리,14,0,17,40,40,592,4872033021
경상남도 의령군 대의면 중촌리,5,0,12,69,37,324,4872033023
경상남도 의령군 대의면 하촌리,12,1,11,62,12,183,4872033024
경상남도 의령군 대의면 마쌍리,6,1,22,72,16,232,4872033026
경상남도 의령군 대의면 추산리,2,0,4,43,21,251,4872033027
경상남도 의령군 대의면 천곡리,3,0,11,60,30,353,4872033029
경상남도 의령군 지정면 두곡리,20,2,103,81,53,689,4872037023
경상남도 의령군 지정면 유곡리,29,3,27,35,21,199,4872037025
경상남도 창녕군 유어면 미구리,35,21,33,26,37,94,4874035022
경상북도 영양군 영양읍 양구리,5,0,8,16,57,715,4776025034
경상북도 영양군 입암면 노달리,17,11,43,28,52,436,4776031043
경상북도 영양군 청기면 사리,6,6,9,37,37,558,4776032036
경상북도 영양군 청기면 구매리,5,1,28,50,76,1159,4776032038
경상북도 영양군 청기면 저리,12,0,23,19,24,325,4776032039
경상북도 영양군 청기면 토구리,23,1,24,18,101,681,4776032041
경상북도 영양군 청기면 행화리,6,0,30,77,129,1487,4776032043
경상북도 영양군 청기면 당리,16,5,47,108,104,1822,4776032044
경상북도 영양군 청기면 기포리,14,3,47,24,91,763,4776032046
경상북도 영양군 일월면,254,47,346,547,1195,10349,4776033000
경상남도 의령군 의령읍 서동리,14,0,16,85,14,105,4872025021
경상남도 의령군 화정면,114,20,233,507,343,2637,4872034000
경상남도 의령군 화정면 가수리,4,0,6,74,78,451,4872034021
경상남도 의령군 화정면 덕교리,6,2,16,91,66,408,4872034022
경상남도 의령군 화정면 상정리,15,15,37,107,35,600,4872034024
경상북도 의성군 단촌면,194,164,505,699,650,5135,4773031000
경상북도 영덕군 지품면 삼화리,27,15,18,25,172,847,4777034039
경상북도 영덕군 지품면 오천리,68,19,57,63,134,830,4777034040
경상북도 영덕군 지품면 신양리,80,28,27,9,88,239,4777034041
경상북도 영덕군 강구면 소월리,7,6,14,10,14,45,4777031037
경상북도 영덕군 강구면 하저리,1,0,10,60,59,518,4777031039
경상북도 영덕군 강구면 금진리,2,0,4,8,33,117,4777031040
경상북도 영덕군 강구면 원직리,5,0,18,26,7,185,4777031041
경상남도 창녕군 유어면 가항리,59,30,127,15,15,62,4874035023
경상남도 창녕군 유어면 대대리,153,0,80,164,41,142,4874035025
경상남도 창녕군 유어면 선소리,5,0,102,78,5,168,4874035026
경상남도 창녕군 유어면 광산리,8,0,35,85,14,216,4874035028
경상남도 창녕군 대합면 모전리,5,0,19,149,84,95,4874033024
경상남도 창녕군 대합면 소야리,28,0,18,107,18,159,4874033025
경상남도 창녕군 대합면 주매리,15,1,8,53,10,91,4874033026
경상북도 경산시 남산면 전지리,6,2,50,60,27,77,4729035034
경상북도 경산시 남산면 반곡리,4,0,7,31,12,148,4729035035
경상북도 경산시 남산면 상대리,10,0,19,57,23,243,4729035036
경상북도 경산시 남산면 하대리,4,9,69,11,18,7,4729035037
경상북도 경산시 남산면 남곡리,7,1,3,46,21,216,4729035023
경상북도 경산시 남산면 갈지리,0,19,1,19,1,32,4729035024
경상북도 안동시 예안면 태곡리,37,2,59,46,202,926,4717041024
경기도 이천시 신둔면 수남리,3,5,12,31,44,76,4150031028
경상남도 의령군 화정면 상이리,34,2,41,73,38,106,4872034026
경상남도 의령군 화정면 화양리,29,0,82,58,65,253,4872034027
경상남도 의령군 용덕면 이목리,7,0,3,25,25,408,4872035021
경상남도 창녕군 대지면 왕산리,10,4,9,50,8,14,4874036022
경상남도 창녕군 대지면 석리,6,5,11,104,0,35,4874036023
경상남도 창녕군 대지면 효정리,20,2,39,240,4,106,4874036025
경상남도 창녕군 대지면 본초리,13,0,41,131,30,207,4874036026
경상남도 창녕군 대지면 용소리,4,0,58,130,12,98,4874036028
경상남도 창녕군 계성면 명리,11,0,49,113,94,208,4874037021
경상남도 창녕군 계성면 사리,31,0,12,109,72,611,4874037022
경상남도 창녕군 계성면 계성리,10,6,37,134,36,138,4874037024
경상남도 창녕군 계성면 봉산리,77,0,11,136,21,227,4874037026
경상남도 창녕군 영산면,121,0,283,909,298,1320,4874038000
경상남도 창녕군 이방면 성산리,22,7,12,10,14,75,4874034025
경상북도 경산시 남산면 인흥리,9,24,27,16,6,33,4729035038
경상북도 경산시 남천면 협석리,6,0,29,25,45,210,4729037022
경상북도 예천군 유천면 율현리,1,0,15,117,57,24,4790037055
경상북도 예천군 유천면 연천리,0,0,21,86,34,3,4790037056
경상북도 예천군 유천면 화지리,10,0,40,40,23,9,4790037041
경상북도 예천군 유천면 고산리,4,0,10,42,47,3,4790037042
경상북도 의성군 춘산면 옥정리,12,9,40,67,51,534,4773035029
경상북도 의성군 춘산면 신흥리,15,30,20,70,65,1250,4773035031
경상북도 의성군 춘산면 대사리,4,4,16,52,39,577,4773035032
경상북도 의성군 춘산면 빙계리,28,57,39,46,22,609,4773035034
경상북도 의성군 춘산면 효선리,7,0,57,54,57,622,4773035036
경상북도 의성군 가음면,137,67,251,470,355,2859,4773036000
경상북도 의성군 비안면 동부리,14,11,16,41,14,0,4773039035
경상북도 의성군 봉양면 삼산리,16,26,39,76,79,243,4773038034
경상북도 의성군 봉양면 장대리,20,18,16,47,13,107,4773038035
경상북도 의성군 봉양면 구산리,38,21,84,105,89,390,4773038037
경상북도 의성군 봉양면 신평리,9,0,3,106,183,230,4773038038
경상북도 의성군 봉양면 화전리,42,31,73,67,77,127,4773038040
경상북도 의성군 봉양면 사부리,18,7,5,109,153,558,4773038041
경상북도 의성군 봉양면 길천리,19,14,44,61,79,298,4773038043
경상북도 의성군 봉양면 분토리,14,18,29,89,74,405,4773038045
경상북도 의성군 봉양면 안평리,21,2,30,51,28,124,4773038046
경상북도 의성군 단촌면 구계리,14,2,52,80,151,1662,4773031035
경상북도 의성군 단촌면 방하리,25,1,34,99,89,657,4773031036
경상북도 의성군 단촌면 후평리,21,25,60,21,12,180,4773031038
경상북도 의성군 점곡면,164,250,411,403,642,4667,4773032000
경상북도 영덕군 지품면 신애리,1,0,0,1,24,33,4777034057
경상북도 영덕군 축산면,99,46,210,604,550,4462,4777035000
경상북도 구미시 광평동,4,0,29,72,26,52,4719011400
경상북도 청송군 현서면 백자리,1,0,21,66,116,631,4775034034
경상북도 청송군 현서면 무계리,10,0,14,23,156,1614,4775034036
경상북도 청송군 현서면 사촌리,4,7,45,37,88,748,4775034038
경상북도 청송군 현서면 월정리,10,4,28,47,145,620,4775034039
경상북도 청송군 현서면 모계리,5,3,25,66,130,310,4775034041
경상북도 청송군 현서면 구산리,8,39,20,18,27,140,4775034043
경상북도 청송군 현서면 화목리,7,5,20,88,62,680,4775034044
경상북도 예천군 유천면 성평리,6,0,43,61,81,139,4790037043
경상북도 예천군 유천면 손기리,4,1,48,55,39,62,4790037045
경상북도 예천군 유천면 수심리,0,0,4,65,113,100,4790037046
경상북도 예천군 유천면 중평리,3,0,19,15,25,29,4790037048
경상북도 예천군 유천면 마천리,2,0,5,59,49,57,4790037050
경상북도 예천군 유천면 화전리,0,0,0,28,34,38,4790037051
경상북도 청송군 청송읍,246,115,227,682,912,6047,4775025000
경상남도 의령군 유곡면,120,29,280,503,314,3468,4872042000
경상남도 의령군 유곡면 상곡리,1,0,2,30,52,430,4872042022
경상남도 의령군 유곡면 오목리,0,0,19,45,36,274,4872042023
경상남도 의령군 유곡면 송산리,28,11,61,98,21,162,4872042025
경상남도 의령군 유곡면 마두리,14,0,12,20,15,199,4872042026
경상남도 의령군 유곡면 마장리,5,5,27,43,47,525,4872042028
경상남도 창녕군 도천면 덕곡리,7,0,7,100,49,371,4874040023
경상남도 창녕군 도천면 예리,6,1,14,83,44,120,4874040024
경상남도 창녕군 도천면 논리,16,0,14,117,19,62,4874040026
경상남도 창녕군 도천면 송진리,28,11,156,138,33,12,4874040028
경상남도 창녕군 길곡면,368,73,283,385,204,1441,4874041000
경상남도 창녕군 길곡면 오호리,215,16,79,67,50,239,4874041022
경상남도 창녕군 길곡면 길곡리,21,0,21,138,76,577,4874041023
경상남도 창녕군 부곡면,254,27,462,447,398,2413,4874042000
경상남도 창녕군 부곡면 거문리,4,0,21,76,21,350,4874042022
경상남도 창녕군 부곡면 사창리,4,0,22,51,16,201,4874042023
경상북도 의성군 단촌면 세촌리,39,26,60,119,58,439,4773031030
충청북도 단양군 대강면 덕촌리,24,0,3,63,16,446,4380031040
충청북도 단양군 대강면 사동리,6,0,1,49,13,1304,4380031042
충청북도 단양군 대강면 남천리,0,0,0,47,43,423,4380031043
충청북도 단양군 대강면 무수천리,0,0,2,34,6,206,4380031045
충청북도 단양군 대강면 신구리,2,0,1,48,17,91,4380031046
충청북도 단양군 대강면 방곡리,11,0,1,87,45,678,4380031048
충청북도 단양군 가곡면,336,55,173,1120,642,8126,4380032000
경상북도 의성군 가음면 장리,14,0,50,126,58,268,4773036028
경상북도 의성군 가음면 이리,20,0,35,54,15,256,4773036029
경상북도 의성군 가음면 가산리,21,38,41,82,17,87,4773036031
경상북도 의성군 가음면 순호리,18,0,46,86,58,745,4773036033
경상북도 의성군 가음면 현리리,13,7,41,52,164,1289,4773036034
경상북도 의성군 옥산면 구성리,12,22,65,48,41,296,4773033031
경상북도 의성군 옥산면 정자리,8,12,35,43,21,233,4773033032
