bjd_Nm,etc_Area,field_Grade1_Area,field_Grade2_Area,field_Grade3_Area,field_Grade4_Area,field_Grade5_Area,stdg_Cd
경상북도 포항시남구 대송면 송동리,8,0,9,66,58,88,4711131026
경상북도 포항시남구 대송면 제내리,19,20,6,15,21,14,4711131027
경상북도 포항시남구 대송면 옥명리,0,0,0,48,16,180,4711131028
경상북도 포항시남구 동해면,34,0,202,715,794,2639,4711132000
경상북도 포항시남구 동해면 약전리,0,0,18,25,44,30,4711132022
충청북도 음성군 맹동면 통동리,44,0,33,80,4,590,4377033029
충청북도 음성군 대소면,92,8,1407,1515,465,328,4377034000
충청북도 음성군 맹동면 본성리,1,0,28,40,22,26,4377033027
경기도 광주시 도척면,99,65,369,765,522,3396,4161033000
경기도 광주시 도척면 유정리,17,11,102,67,34,275,4161033022
경기도 화성시 봉담읍 유리,27,0,10,39,24,80,4159025332
경기도 화성시 봉담읍,124,1,372,1347,805,1632,4159025300
경기도 화성시 봉담읍 내리,3,0,34,153,147,210,4159025322
경기도 화성시 봉담읍 수영리,2,1,52,184,27,37,4159025323
경기도 화성시 봉담읍 와우리,0,0,22,74,26,34,4159025325
경기도 화성시 봉담읍 수기리,5,0,9,62,22,28,4159025326
경기도 화성시 봉담읍 왕림리,0,0,18,105,59,90,4159025328
경기도 화성시 봉담읍 세곡리,2,0,3,22,8,107,4159025329
전라남도 신안군 자은면 유천리,24,0,43,110,212,192,4691033024
전라남도 신안군 자은면 유각리,43,0,34,230,169,200,4691033025
전라남도 신안군 자은면 면전리,10,0,9,83,115,40,4691033026
전라남도 신안군 자은면 고장리,29,0,53,264,226,179,4691033028
전라남도 신안군 자은면 구영리,8,0,61,151,92,121,4691033029
전라남도 신안군 비금면 광대리,22,0,26,106,168,125,4691034021
전라남도 신안군 비금면 용소리,6,0,54,101,17,19,4691034022
전라남도 신안군 비금면 가산리,36,0,1,77,63,245,4691034024
전라남도 신안군 비금면 덕산리,39,0,6,102,72,193,4691034025
전라남도 신안군 비금면 구림리,43,0,1,93,174,91,4691034027
전라남도 신안군 비금면 신원리,15,0,2,119,79,39,4691034028
부산광역시 강서구 죽림동,35,0,22,69,11,64,2644010500
부산광역시 강서구 식만동,34,0,14,31,47,130,2644010600
부산광역시 강서구 죽동동,35,0,8,215,5,187,2644010700
부산광역시 강서구 봉림동,261,0,101,499,5,127,2644010800
