bjd_Nm,stdg_Cd,vldpha_Fachs1_Area,vldpha_Fachs2_Area,vldpha_Fachs3_Area,vldpha_Fachs4_Area,vldpha_Fachs5_Area,vldpha_Fachs6_Area,vldpha_Fruit1_Area,vldpha_Fruit2_Area,vldpha_Fruit3_Area,vldpha_Fruit4_Area,vldpha_Fruit5_Area,vldpha_Fruit6_Area,vldpha_Pfld1_Area,vldpha_Pfld2_Area,vldpha_Pfld3_Area,vldpha_Pfld4_Area,vldpha_Pfld5_Area,vldpha_Pfld6_Area,vldpha_Rfld1_Area,vldpha_Rfld2_Area,vldpha_Rfld3_Area,vldpha_Rfld4_Area,vldpha_Rfld5_Area,vldpha_Rfld6_Area
전라남도 강진군 칠량면 흥학리,4681032031,-,-,-,-,-,-,0,0,0,1,0,2,1,0,0,0,2,24,3,4,5,3,1,2
전라남도 강진군 대구면 수동리,4681033021,0,0,0,0,0,1,0,0,0,0,0,3,2,3,2,1,1,21,141,55,20,7,3,5
전라남도 강진군 대구면 계율리,4681033024,-,-,-,-,-,-,0,0,0,0,0,4,8,2,2,1,1,36,32,70,25,14,13,10
전라남도 강진군 대구면 저두리,4681033030,-,-,-,-,-,-,-,-,-,-,-,-,2,3,0,1,1,34,23,11,5,0,0,2
경상북도 영천시 북안면 송포리,4723039042,-,-,-,-,-,-,0,0,1,1,0,7,-,-,-,-,-,-,0,0,1,1,0,1
경상북도 영천시 대창면,4723040000,-,-,-,-,-,-,4,2,6,5,4,92,4,0,1,2,0,12,6,12,7,4,0,1
경상북도 영천시 대창면 운천리,4723040022,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,0,2,0,0,0,0
경상북도 영천시 대창면 오길리,4723040025,-,-,-,-,-,-,0,0,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0
경상북도 영천시 대창면 신광리,4723040027,-,-,-,-,-,-,0,0,0,0,1,4,0,0,0,0,0,4,0,1,0,0,0,0
경상북도 영천시 대창면 구지리,4723040030,-,-,-,-,-,-,0,0,0,0,0,4,2,0,0,0,0,0,-,-,-,-,-,-
경상북도 영천시 대창면 강회리,4723040033,-,-,-,-,-,-,0,0,0,0,0,8,0,0,1,2,0,1,-,-,-,-,-,-
경상북도 상주시 인봉동,4725010300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경상북도 상주시 무양동,4725010900,0,0,0,0,0,6,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-
경상북도 상주시 지천동,4725011500,0,0,0,0,0,2,3,1,1,0,1,22,7,1,1,1,0,4,3,3,2,2,0,0
경상북도 상주시 거동동,4725011800,-,-,-,-,-,-,8,4,2,1,0,31,0,0,0,0,1,1,1,2,3,0,0,0
경상북도 상주시 화개동,4725012100,0,0,0,0,0,13,-,-,-,-,-,-,0,0,0,0,0,8,1,3,2,2,0,0
경상남도 거창군 거창읍 학리,4888025033,3,0,0,0,1,69,4,0,0,0,1,20,42,22,7,16,4,237,2,1,14,15,6,34
경상남도 거창군 주상면 남산리,4888031022,-,-,-,-,-,-,7,3,5,13,8,12,4,9,9,12,9,69,0,2,11,7,10,16
경상남도 거창군 주상면 도평리,4888031024,0,0,0,0,0,1,0,0,0,0,1,4,3,5,3,7,2,51,0,3,26,16,19,12
충청남도 아산시 배방읍,4420025300,0,0,0,0,1,51,5,5,0,0,0,16,69,11,11,8,9,272,206,185,75,29,8,15
충청남도 아산시 배방읍 중리,4420025321,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,17,17,17,3,1,1,0
충청남도 아산시 배방읍 수철리,4420025322,-,-,-,-,-,-,5,2,0,0,0,2,0,1,1,1,0,13,34,10,2,3,1,0
충청남도 아산시 배방읍 신흥리,4420025323,-,-,-,-,-,-,0,3,0,0,0,0,0,1,1,0,1,11,28,19,3,1,0,0
충청남도 아산시 배방읍 공수리,4420025324,-,-,-,-,-,-,0,0,0,0,0,1,1,1,1,0,0,16,15,9,2,1,1,0
충청남도 아산시 배방읍 북수리,4420025325,0,0,0,0,0,28,0,0,0,0,0,1,1,2,4,2,1,37,17,7,4,2,0,0
충청남도 아산시 배방읍 회룡리,4420025326,-,-,-,-,-,-,0,0,0,0,0,3,0,2,1,1,1,43,3,3,4,4,0,0
경기도 포천시 영북면 소회산리,4165039027,0,0,1,0,1,7,0,0,0,0,1,13,8,5,4,4,1,31,18,9,1,0,0,0
경기도 포천시 관인면,4165040000,0,3,0,14,1,65,6,11,17,3,3,30,26,67,95,111,73,453,570,621,221,58,18,54
경기도 포천시 관인면 중리,4165040021,0,1,0,4,1,20,0,0,0,0,0,1,7,38,45,69,45,92,76,8,8,1,0,28
경기도 포천시 관인면 삼율리,4165040022,0,0,0,0,0,1,0,1,2,0,0,0,1,4,8,20,3,79,11,12,2,0,5,6
경기도 포천시 관인면 초과리,4165040023,0,0,0,0,0,2,3,0,0,0,0,0,2,4,4,2,10,88,23,58,20,13,3,9
경기도 포천시 관인면 탄동리,4165040024,0,1,0,0,0,0,2,5,8,0,1,7,2,6,12,4,4,70,52,121,66,10,3,4
경기도 포천시 관인면 냉정리,4165040025,0,1,0,10,0,42,1,2,1,1,0,8,8,5,7,4,5,76,407,421,125,33,6,4
경상남도 창원시마산합포구 완월동,4812512800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
세종특별자치시  전의면 관정리,3611037027,-,-,-,-,-,-,4,3,1,0,1,1,3,3,1,1,2,18,18,26,15,7,3,3
세종특별자치시  전의면 신정리,3611037028,-,-,-,-,-,-,14,1,0,1,0,4,1,2,0,1,0,17,8,14,13,6,3,4
세종특별자치시  전의면 노곡리,3611037029,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,3,2,17,3,10,8,4,1,2
세종특별자치시  전의면 신방리,3611037030,0,0,0,0,0,2,1,0,0,0,0,1,1,2,7,2,1,22,15,19,13,4,1,5
세종특별자치시  전의면 영당리,3611037031,-,-,-,-,-,-,0,0,0,0,0,3,0,1,1,1,1,8,5,5,7,3,3,6
세종특별자치시  전의면 양곡리,3611037032,-,-,-,-,-,-,37,0,0,0,0,0,0,0,0,1,0,9,28,50,41,11,6,35
세종특별자치시  전의면 달전리,3611037033,-,-,-,-,-,-,8,0,0,0,0,1,4,5,5,4,3,34,21,15,10,3,2,7
세종특별자치시  전의면 금사리,3611037034,0,0,0,0,0,1,33,0,1,0,1,10,3,1,1,1,1,32,15,23,13,6,2,6
세종특별자치시  전의면 다방리,3611037035,0,0,0,0,0,1,6,0,3,0,0,4,0,0,1,1,1,29,26,35,13,7,1,4
세종특별자치시  전동면,3611038000,0,0,0,0,0,5,20,21,16,11,8,221,63,52,22,15,11,163,341,362,165,73,38,58
세종특별자치시  전동면 노장리,3611038021,0,0,0,0,0,1,3,2,2,1,1,9,0,5,1,1,1,11,31,46,22,10,7,4
세종특별자치시  전동면 봉대리,3611038022,-,-,-,-,-,-,1,2,2,2,1,36,1,0,0,1,1,7,6,14,13,7,1,3
세종특별자치시  전동면 청송리,3611038023,-,-,-,-,-,-,1,1,1,0,0,5,4,2,1,1,1,10,44,26,15,9,1,5
제주특별자치도 제주시 용담일동,5011010800,-,-,-,-,-,-,-,-,-,-,-,-,1,3,6,6,8,132,-,-,-,-,-,-
제주특별자치도 제주시 용담이동,5011010900,-,-,-,-,-,-,0,0,0,0,0,6,0,1,0,0,0,16,-,-,-,-,-,-
제주특별자치도 제주시 용담삼동,5011011000,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,25,-,-,-,-,-,-
제주특별자치도 제주시 화북일동,5011011100,-,-,-,-,-,-,0,0,0,0,0,1,8,6,12,15,10,302,-,-,-,-,-,-
제주특별자치도 제주시 화북이동,5011011200,0,0,0,0,0,2,7,5,3,3,5,106,5,1,4,1,2,41,-,-,-,-,-,-
제주특별자치도 제주시 삼양일동,5011011300,0,0,0,0,0,1,0,0,0,1,3,44,5,4,6,8,7,208,-,-,-,-,-,-
제주특별자치도 제주시 삼양이동,5011011400,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,-,-,-,-,-,-
제주특별자치도 제주시 삼양삼동,5011011500,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2,-,-,-,-,-,-
제주특별자치도 제주시 봉개동,5011011600,0,0,0,0,0,4,7,10,1,1,4,68,20,17,11,12,16,274,-,-,-,-,-,-
제주특별자치도 제주시 아라일동,5011011700,0,0,0,1,0,2,2,3,5,4,4,40,15,17,37,22,22,400,-,-,-,-,-,-
제주특별자치도 제주시 아라이동,5011011800,1,1,0,0,0,2,3,1,6,1,5,60,8,3,2,1,6,20,-,-,-,-,-,-
경상북도 포항시남구 호미곶면,4711135000,0,0,0,0,0,2,-,-,-,-,-,-,33,16,65,54,21,455,21,3,3,1,1,1
