allcolluvm_Layer_Area,alluvm_Layer_Area,bjd_Nm,colluvm_Layer_Area,diluvm_Layer_Area,etc_Area,residum_Layer_Area,stdg_Cd
52,33,경상북도 영주시 안정면 대평리,9,0,7,57,4721035032
195,59,경상북도 영주시 안정면 오계리,16,6,7,268,4721035033
38,2,경상북도 영덕군 남정면 사암리,96,0,3,839,4777032042
9,52,전라남도 영광군 법성면 입암리,59,0,22,218,4687037026
78,59,전라남도 영광군 법성면 월산리,9,0,10,184,4687037028
105,0,전라남도 보성군 겸백면 용산리,18,0,32,286,4678033026
3,1,전라남도 장성군 북하면 동현리,39,0,101,194,4688040030
0,0,전라남도 장성군 장성읍 용곡리,40,0,147,415,4688025036
770,335,울산광역시 울주군 온양읍,817,40,124,4363,3171025600
92,37,울산광역시 울주군 온양읍 발리,96,7,8,444,3171025621
62,30,울산광역시 울주군 온양읍 망양리,37,29,18,278,3171025623
10,46,울산광역시 울주군 온양읍 남창리,4,0,16,52,3171025624
42,33,경상북도 포항시남구 대송면 송동리,28,0,8,118,4711131026
0,77,경상북도 포항시남구 대송면 제내리,0,0,19,0,4711131027
60,0,경상북도 포항시남구 대송면 옥명리,2,0,0,181,4711131028
704,248,경상북도 포항시남구 동해면,321,56,34,3022,4711132000
42,31,경상북도 포항시남구 동해면 약전리,1,0,0,41,4711132022
117,0,충청북도 음성군 맹동면 통동리,0,0,44,590,4377033029
1428,594,충청북도 음성군 대소면,5,265,92,1431,4377034000
64,9,충청북도 음성군 맹동면 본성리,0,1,1,42,4377033027
650,412,경기도 광주시 도척면,440,43,99,3572,4161033000
41,90,경기도 광주시 도척면 유정리,48,41,17,268,4161033022
36,13,경기도 화성시 봉담읍 유리,9,0,27,95,4159025332
1132,364,경기도 화성시 봉담읍,141,0,124,2521,4159025300
126,53,경기도 화성시 봉담읍 내리,28,0,3,338,4159025322
99,52,경기도 화성시 봉담읍 수영리,16,0,2,133,4159025323
59,20,경기도 화성시 봉담읍 와우리,0,0,0,77,4159025325
53,4,경기도 화성시 봉담읍 수기리,2,0,5,62,4159025326
85,16,경기도 화성시 봉담읍 왕림리,22,0,0,150,4159025328
14,13,경기도 화성시 봉담읍 세곡리,3,0,2,110,4159025329
33,93,전라남도 신안군 자은면 유천리,102,0,24,329,4691033024
43,182,전라남도 신안군 자은면 유각리,141,0,43,267,4691033025
20,74,전라남도 신안군 자은면 면전리,46,0,10,106,4691033026
40,288,전라남도 신안군 자은면 고장리,93,0,29,302,4691033028
50,112,전라남도 신안군 자은면 구영리,85,0,8,178,4691033029
29,58,전라남도 신안군 비금면 광대리,85,0,22,252,4691034021
2,189,전라남도 신안군 비금면 용소리,1,0,6,0,4691034022
9,211,전라남도 신안군 비금면 가산리,25,0,36,141,4691034024
4,153,전라남도 신안군 비금면 덕산리,46,0,39,171,4691034025
1,281,전라남도 신안군 비금면 구림리,15,0,43,63,4691034027
5,136,전라남도 신안군 비금면 신원리,15,0,15,84,4691034028
6,148,부산광역시 강서구 죽림동,0,0,35,11,2644010500
0,221,부산광역시 강서구 식만동,0,0,34,0,2644010600
2,404,부산광역시 강서구 죽동동,0,6,35,4,2644010700
4,718,부산광역시 강서구 봉림동,1,1,261,8,2644010800
15,151,부산광역시 강서구 화전동,14,0,110,68,2644011000
80,9,경기도 화성시 팔탄면 덕우리,2,0,0,156,4159036030
3,70,경기도 화성시 서신면 제부리,3,0,24,46,4159035026
